x = 1046.643, y = -330, z = 855.022, angle = -173.3502, collision = h0100B1
x = 962.6093, y = -396.3566, z = 884.6961, angle = 61.47187, collision = h0108B1
x = 961.5094, y = -396.3532, z = 884.066, angle = 93.24871, collision = h0108B1
x = 960.0115, y = -396.2308, z = 884.268, angle = 126.7786, collision = h0108B1
x = 957.52, y = -396.2516, z = 884.3219, angle = -13.89881, collision = h0108B1
x = 957.8847, y = -396.2189, z = 882.8801, angle = -24.00355, collision = h0108B1
x = 958.5065, y = -396.1925, z = 881.7312, angle = -39.08379, collision = h0108B1
x = 959.3076, y = -396.164, z = 880.6805, angle = 17.31915, collision = h0108B1
x = 958.6041, y = -396.149, z = 879.6658, angle = 119.843, collision = h0108B1
x = 957.4266, y = -396.171, z = 880.2457, angle = 73.23667, collision = h0108B1
x = 955.3536, y = -396.1105, z = 876.4049, angle = -25.74469, collision = h0108B1
x = 958.113, y = -396.0768, z = 875.9092, angle = -176.0563, collision = h0108B1
x = 958.3757, y = -396.1005, z = 877.186, angle = -86.56879, collision = h0108B1
x = 959.6878, y = -396.2276, z = 877.1308, angle = -12.83622, collision = h0108B1
x = 960.0829, y = -396.216, z = 875.7907, angle = -64.1443, collision = h0108B1
x = 961.2161, y = -396.2224, z = 875.2481, angle = -102.683, collision = h0108B1
x = 962.4281, y = -396.2511, z = 875.7972, angle = 178.5977, collision = h0108B1
x = 962.4808, y = -396.3234, z = 877.176, angle = 177.0773, collision = h0108B1
x = 962.4217, y = -396.3026, z = 878.2031, angle = 177.0823, collision = h0108B1
x = 962.4211, y = -396.2529, z = 879.5233, angle = -165.6234, collision = h0108B1
x = 962.9283, y = -396.2765, z = 880.8954, angle = -117.5253, collision = h0108B1
x = 964.0505, y = -396.541, z = 881.3295, angle = -47.80821, collision = h0108B1
x = 965.1635, y = -396.4994, z = 880.5341, angle = -69.85915, collision = h0108B1
x = 966.4452, y = -396.473, z = 880.0303, angle = -66.98995, collision = h0108B1
x = 967.3906, y = -396.453, z = 879.6494, angle = -107.4109, collision = h0108B1
x = 968.6284, y = -396.4747, z = 880.0637, angle = -178.9961, collision = h0108B1
x = 968.6571, y = -396.5503, z = 881.5059, angle = -161.9395, collision = h0108B1
x = 969.009, y = -396.6156, z = 882.752, angle = -161.1032, collision = h0108B1
x = 969.4086, y = -396.6892, z = 884.1567, angle = -159.3562, collision = h0108B1
x = 969.9894, y = -396.7487, z = 885.2926, angle = -113.6865, collision = h0108B1
x = 971.1544, y = -396.7812, z = 885.9113, angle = -133.5672, collision = h0108B1
x = 971.9187, y = -396.8265, z = 886.7761, angle = -133.5672, collision = h0108B1
x = 971.5549, y = -396.8836, z = 887.8665, angle = 167.3058, collision = h2108B1
x = 971.2517, y = -397.1694, z = 888.9487, angle = 151.3044, collision = h2108B1
x = 970.689, y = -397.6724, z = 889.7309, angle = 122.6262, collision = h2108B1
x = 969.6703, y = -397.6979, z = 889.7708, angle = 37.61186, collision = h2108B1
x = 969.4346, y = -397.0945, z = 888.8323, angle = -27.85184, collision = h2108B1
x = 970.4113, y = -396.9071, z = 888.3145, angle = -137.3389, collision = h2108B1
x = 969.5872, y = -398.3218, z = 890.7408, angle = 175.4685, collision = h2108B1
x = 969.7874, y = -398.8554, z = 891.5705, angle = -133.8489, collision = h2108B1
x = 970.7568, y = -399.2745, z = 892.2222, angle = -91.22057, collision = h2108B1
x = 971.8532, y = -399.1522, z = 892.032, angle = -91.65764, collision = h2108B1
x = 972.8801, y = -399.1224, z = 891.9856, angle = -54.93161, collision = h2108B1
x = 973.8022, y = -398.8473, z = 891.5578, angle = -85.61749, collision = h2108B1
x = 974.91, y = -398.8839, z = 891.6147, angle = -92.40569, collision = h2108B1
x = 975.9738, y = -398.775, z = 891.4454, angle = -37.95801, collision = h2108B1
x = 976.4197, y = -398.2207, z = 890.5834, angle = 2.247802, collision = h2108B1
x = 976.3951, y = -397.6023, z = 889.6218, angle = -17.40372, collision = h2108B1
x = 976.2073, y = -397.0872, z = 888.821, angle = 130.4534, collision = h2108B1
x = 975.3068, y = -398.2562, z = 890.6387, angle = 106.6668, collision = h2108B1
x = 974.2277, y = -398.1499, z = 890.4734, angle = 24.36988, collision = h2108B1
x = 974.2825, y = -397.4718, z = 889.419, angle = -8.21154, collision = h2108B1
x = 974.4646, y = -396.9143, z = 888.451, angle = -8.271373, collision = h2108B1
x = 974.6553, y = -396.8457, z = 887.1422, angle = 12.5243, collision = h0108B1
x = 973.9233, y = -396.7971, z = 886.2161, angle = 128.2518, collision = h0108B1
x = 971.9384, y = -396.7382, z = 885.0917, angle = -36.64578, collision = h0108B1
x = 972.8369, y = -396.6884, z = 884.1418, angle = -82.87157, collision = h0108B1
x = 973.8646, y = -396.6798, z = 883.9777, angle = -102.751, collision = h0108B1
x = 975.2013, y = -396.6921, z = 884.2109, angle = -52.41303, collision = h0108B1
x = 976.1682, y = -396.6554, z = 883.3924, angle = 6.883014, collision = h0108B1
x = 976.1216, y = -396.6739, z = 882.3505, angle = -34.51989, collision = h0108B1
x = 976.8952, y = -396.6496, z = 881.3137, angle = -82.65128, collision = h0108B1
x = 978.2707, y = -396.6442, z = 881.0827, angle = -80.0693, collision = h0108B1
x = 979.6273, y = -396.6385, z = 880.8419, angle = -79.41155, collision = h0108B1
x = 980.9107, y = -396.633, z = 880.6059, angle = -79.58217, collision = h0108B1
x = 981.878, y = -396.6208, z = 880.0868, angle = -51.83805, collision = h0108B1
x = 982.6031, y = -396.6374, z = 880.7914, angle = -163.5663, collision = h0108B1
x = 982.8592, y = -396.6609, z = 881.7967, angle = 125.9153, collision = h0108B1
x = 981.9182, y = -396.6721, z = 882.6875, angle = -176.1157, collision = h0108B1
x = 981.9247, y = -396.6673, z = 883.7383, angle = -161.7247, collision = h0108B1
x = 982.4335, y = -396.7413, z = 885.1511, angle = -122.6092, collision = h0108B1
x = 983.4173, y = -396.7768, z = 885.8269, angle = -92.40616, collision = h0108B1
x = 984.4567, y = -396.7868, z = 886.0181, angle = 168.8777, collision = h0108B1
x = 984.3329, y = -396.8481, z = 887.1896, angle = -168.8472, collision = h0108B1
x = 985.5178, y = -396.7518, z = 885.3503, angle = -92.72191, collision = h0108B1
x = 986.8577, y = -396.763, z = 885.5653, angle = -139.9605, collision = h0108B1
x = 988.0369, y = -396.7653, z = 885.6078, angle = -82.0629, collision = h0108B1
x = 989.3383, y = -396.7548, z = 885.4079, angle = -88.24187, collision = h0108B1
x = 990.823, y = -396.7504, z = 885.3238, angle = -82.54012, collision = h0109B1
x = 992.143, y = -396.7428, z = 885.1797, angle = -93.9532, collision = h0109B1
x = 993.2928, y = -396.7488, z = 885.2949, angle = -92.61071, collision = h0109B1
x = 994.4236, y = -396.7557, z = 885.4343, angle = -111.6568, collision = h0109B1
x = 995.7111, y = -396.7816, z = 885.9167, angle = -81.41087, collision = h0109B1
x = 996.751, y = -396.7751, z = 885.7871, angle = -60.89894, collision = h0109B1
x = 997.8864, y = -396.7389, z = 885.0999, angle = -30.5464, collision = h0109B1
x = 998.0753, y = -396.6787, z = 883.9518, angle = 99.7578, collision = h0109B1
x = 996.7744, y = -396.6914, z = 884.1959, angle = 128.506, collision = h0109B1
x = 994.7522, y = -396.689, z = 884.1555, angle = -0.08681171, collision = h0109B1
x = 994.7432, y = -396.6189, z = 882.8155, angle = -32.04531, collision = h0109B1
x = 995.372, y = -396.5568, z = 881.6304, angle = -17.31816, collision = h0109B1
x = 995.7542, y = -396.4931, z = 880.4144, angle = 0.3968067, collision = h0109B1
x = 995.7474, y = -396.4399, z = 879.3993, angle = 70.29634, collision = h0109B1
x = 994.6994, y = -396.3966, z = 878.5727, angle = 21.89741, collision = h0109B1
x = 994.114, y = -396.3524, z = 877.7294, angle = 48.0222, collision = h0109B1
x = 997.1667, y = -396.487, z = 880.2982, angle = -105.743, collision = h0109B1
x = 997.003, y = -396.4245, z = 879.1055, angle = -5.420192, collision = h0109B1
x = 997.092, y = -396.3708, z = 878.0804, angle = -51.16749, collision = h0109B1
x = 998.0245, y = -396.3247, z = 877.2013, angle = -55.6182, collision = h0109B1
x = 998.3871, y = -396.2693, z = 876.1456, angle = 37.87632, collision = h0109B1
x = 997.6517, y = -396.2109, z = 875.0302, angle = 40.29963, collision = h0109B1
x = 996.711, y = -396.1782, z = 874.406, angle = 167.4309, collision = h0109B1
x = 996.4996, y = -396.2501, z = 875.7775, angle = -167.547, collision = h0109B1
x = 996.6749, y = -396.3184, z = 877.081, angle = 175.1086, collision = h0109B1
x = 996.9633, y = -396.544, z = 881.3851, angle = -172.1531, collision = h0109B1
x = 997.1437, y = -396.6125, z = 882.6954, angle = -173.1504, collision = h0109B1
x = 997.8355, y = -396.8023, z = 886.3099, angle = 179.2932, collision = h0109B1
x = 995.7948, y = -396.7197, z = 884.7411, angle = 19.68961, collision = h0109B1
x = 994.3678, y = -396.2884, z = 876.5081, angle = 3.333515, collision = h0109B1
x = 994.2111, y = -396.2196, z = 875.197, angle = 57.57106, collision = h0109B1
x = 993.0053, y = -396.1946, z = 874.7194, angle = 165.1181, collision = h0109B1
x = 992.7211, y = -396.2513, z = 875.8013, angle = -146.9884, collision = h0109B1
x = 993.1418, y = -396.3241, z = 877.1904, angle = 174.585, collision = h0109B1
x = 993.0132, y = -396.396, z = 878.5621, angle = 176.135, collision = h0109B1
x = 992.9229, y = -396.468, z = 879.9368, angle = 175.2025, collision = h0109B1
x = 992.8019, y = -396.538, z = 881.2717, angle = 165.5422, collision = h0109B1
x = 992.5367, y = -396.595, z = 882.3593, angle = 155.1151, collision = h0109B1
x = 991.9628, y = -396.6583, z = 883.5671, angle = 138.6948, collision = h0109B1
x = 990.5037, y = -396.6921, z = 884.2123, angle = -0.5144225, collision = h0108B1
x = 990.4581, y = -396.6218, z = 882.8695, angle = -27.42586, collision = h0108B1
x = 990.9891, y = -396.5495, z = 881.4912, angle = 6.982461, collision = h0109B1
x = 990.8957, y = -396.4806, z = 880.1755, angle = 1.749744, collision = h0109B1
x = 990.8809, y = -396.4027, z = 878.6891, angle = 1.383141, collision = h0109B1
x = 990.7608, y = -396.3302, z = 877.306, angle = 22.5311, collision = h0108B1
x = 990.2438, y = -396.2664, z = 876.0897, angle = 57.7772, collision = h0108B1
x = 989.0363, y = -396.2466, z = 875.7117, angle = 167.0138, collision = h0108B1
x = 988.6385, y = -396.3127, z = 876.9729, angle = 177.4232, collision = h0108B1
x = 988.548, y = -396.3657, z = 877.983, angle = -174.4832, collision = h0108B1
x = 988.6634, y = -396.4359, z = 879.3228, angle = -175.3831, collision = h0108B1
x = 988.7532, y = -396.5136, z = 880.8066, angle = 161.6292, collision = h0108B1
x = 988.3666, y = -396.5795, z = 882.0635, angle = 155.2405, collision = h0108B1
x = 987.7084, y = -396.6494, z = 883.3963, angle = 137.85, collision = h0108B1
x = 986.7748, y = -396.6989, z = 884.3425, angle = 58.06718, collision = h0108B1
x = 985.9567, y = -396.654, z = 883.4846, angle = -8.48259, collision = h0108B1
x = 986.1242, y = -396.5852, z = 882.1729, angle = -5.956622, collision = h0108B1
x = 986.2766, y = -396.5074, z = 880.6866, angle = -7.334872, collision = h0108B1
x = 986.4481, y = -396.4377, z = 879.3566, angle = -5.444658, collision = h0108B1
x = 986.5616, y = -396.3667, z = 878.0024, angle = -0.2082525, collision = h0108B1
x = 986.5359, y = -396.2888, z = 876.5156, angle = 17.81761, collision = h0108B1
x = 986.0319, y = -396.2268, z = 875.3329, angle = 66.33309, collision = h0108B1
x = 984.7076, y = -396.2175, z = 875.1561, angle = 154.3828, collision = h0108B1
x = 984.1683, y = -396.407, z = 876.3322, angle = 171.9282, collision = h0108B1
x = 983.9803, y = -396.5674, z = 877.8079, angle = 179.296, collision = h0108B1
x = 983.9801, y = -396.5984, z = 879.1302, angle = -179.6504, collision = h0108B1
x = 984.0049, y = -396.6333, z = 880.618, angle = 179.7442, collision = h0108B1
x = 983.8919, y = -396.664, z = 881.9269, angle = 144.9672, collision = h0108B1
x = 983.0316, y = -396.6743, z = 883.1325, angle = 125.8894, collision = h0108B1
x = 981.9258, y = -396.5942, z = 878.9495, angle = 8.577229, collision = h0108B1
x = 981.733, y = -396.5635, z = 877.6409, angle = 9.775012, collision = h0108B1
x = 981.5897, y = -396.5289, z = 876.1651, angle = -14.29519, collision = h0108B1
x = 981.9057, y = -396.2214, z = 874.8845, angle = 6.813182, collision = h0108B1
x = 981.6351, y = -396.1429, z = 873.7325, angle = 28.34635, collision = h0108B1
x = 980.9349, y = -396.0885, z = 872.6953, angle = 12.24713, collision = h0108B1
x = 980.7755, y = -396.0135, z = 871.2631, angle = -21.94915, collision = h0108B1
x = 981.2569, y = -395.9489, z = 870.0312, angle = -0.5102834, collision = h0108B1
x = 981.274, y = -395.8736, z = 868.594, angle = 0.8485281, collision = h3108B1
x = 981.2228, y = -395.6736, z = 867.2729, angle = 4.159544, collision = h3108B1
x = 981.1403, y = -395.0379, z = 866.2844, angle = 4.964933, collision = h3108B1
x = 981.0557, y = -394.4022, z = 865.296, angle = 1.823824, collision = h3108B1
x = 981.003, y = -393.872, z = 864.4714, angle = -1.78772, collision = h3108B1
x = 981.0305, y = -393.2342, z = 863.4797, angle = -1.501344, collision = h3108B1
x = 981.0503, y = -392.5964, z = 862.4879, angle = 0.3417827, collision = h3108B1
x = 981.0494, y = -392.0647, z = 861.6612, angle = -0.08933888, collision = h3108B1
x = 981.051, y = -391.4796, z = 860.6691, angle = -0.07729042, collision = h3108B1
x = 981.0526, y = -391.4071, z = 859.5438, angle = -0.07729042, collision = h3108B1
x = 982.4839, y = -391.4102, z = 859.5917, angle = -132.5595, collision = h3108B1
x = 983.3895, y = -391.4706, z = 860.5986, angle = -175.3878, collision = h3108B1
x = 983.3254, y = -390.9144, z = 861.7023, angle = 175.4487, collision = h3108B1
x = 983.1342, y = -390.2201, z = 863.0801, angle = 172.9391, collision = h3108B1
x = 982.9741, y = -389.5119, z = 864.4855, angle = 173.065, collision = h3108B1
x = 982.8331, y = -388.8029, z = 865.8925, angle = 176.196, collision = h3108B1
x = 982.7472, y = -388.0821, z = 867.3229, angle = 176.6443, collision = h3108B1
x = 982.69, y = -387.872, z = 868.7203, angle = 171.8356, collision = h3108B1
x = 982.6858, y = -387.9282, z = 869.8456, angle = 171.8356, collision = h0108B1
x = 983.2482, y = -387.9729, z = 870.6979, angle = -139.072, collision = h0108B1
x = 984.0469, y = -388.0082, z = 871.3715, angle = -114.223, collision = h0108B1
x = 985.0779, y = -388.0273, z = 871.9396, angle = -146.5315, collision = h0108B1
x = 985.4464, y = -387.5087, z = 872.9688, angle = 175.6724, collision = h0108B1
x = 985.2007, y = -386.8815, z = 874.2134, angle = 175.0568, collision = h0108B1
x = 985.0802, y = -386.1778, z = 875.6099, angle = -174.2493, collision = h0108B1
x = 985.1976, y = -385.4865, z = 876.9816, angle = 173.2967, collision = h0108B1
x = 985.1257, y = -384.9825, z = 877.9817, angle = 163.8092, collision = h0108B1
x = 984.7376, y = -384.419, z = 879.2843, angle = 162.129, collision = h0108B1
x = 984.6353, y = -384.4718, z = 880.3243, angle = 168.5334, collision = h0108B1
x = 983.5483, y = -384.4773, z = 880.4288, angle = 77.37332, collision = h0108B1
x = 982.3877, y = -384.4687, z = 880.2639, angle = 68.27108, collision = h0108B1
x = 981.1284, y = -384.4509, z = 879.9249, angle = 138.3167, collision = h0108B1
x = 980.3589, y = -384.5129, z = 881.1086, angle = -151.0737, collision = h0108B1
x = 981.2938, y = -384.5677, z = 882.1539, angle = -147.9635, collision = h0108B1
x = 981.942, y = -384.6274, z = 883.2921, angle = -168.8802, collision = h0108B1
x = 982.155, y = -384.6791, z = 884.2791, angle = -179.4863, collision = h0108B1
x = 982.2022, y = -384.7475, z = 885.5832, angle = -111.5389, collision = h0108B1
x = 983.3154, y = -384.7587, z = 885.7973, angle = -9.784082, collision = h0108B1
x = 983.4935, y = -384.6833, z = 884.3602, angle = 49.13496, collision = h0108B1
x = 981.864, y = -384.5158, z = 881.1625, angle = -54.10823, collision = h0108B1
x = 985.852, y = -384.4651, z = 880.1952, angle = -87.03099, collision = h0108B1
x = 987.1347, y = -384.4602, z = 880.1028, angle = -168.629, collision = h0108B1
x = 987.3427, y = -384.532, z = 881.471, angle = -176.7751, collision = h0108B1
x = 987.4432, y = -384.6006, z = 882.7808, angle = -168.7501, collision = h0108B1
x = 987.5392, y = -384.6268, z = 884.1035, angle = 171.4925, collision = h0108B1
x = 987.3564, y = -383.8807, z = 885.584, angle = 170.8605, collision = h0108B1
x = 987.2153, y = -383.2264, z = 886.8966, angle = 168.6373, collision = h0108B1
x = 986.8239, y = -383.2824, z = 888.1993, angle = 102.1886, collision = h0108B1
x = 985.8438, y = -383.213, z = 888.4179, angle = 82.19626, collision = h0108B1
x = 984.8447, y = -382.6376, z = 888.3459, angle = 86.06543, collision = h0108B1
x = 983.482, y = -381.8536, z = 888.2643, angle = 71.41038, collision = h0108B1
x = 982.1622, y = -381.0784, z = 887.8822, angle = 89.96884, collision = h0108B1
x = 981.2875, y = -380.5755, z = 887.8363, angle = 94.88853, collision = h0108B1
x = 980.288, y = -380.4662, z = 887.9625, angle = 96.74641, collision = h0108B1
x = 980.1367, y = -380.3935, z = 886.5755, angle = -5.855897, collision = h0108B1
x = 980.2522, y = -380.3225, z = 885.2215, angle = -10.61088, collision = h0108B1
x = 980.2472, y = -380.2699, z = 884.2173, angle = 166.7403, collision = h0108B1
x = 978.9453, y = -380.3788, z = 886.2943, angle = 84.70601, collision = h2108B1
x = 977.7963, y = -380.3819, z = 886.3535, angle = 82.91466, collision = h2108B1
x = 976.6364, y = -380.5754, z = 886.2256, angle = 84.92921, collision = h2108B1
x = 975.1357, y = -380.5685, z = 886.0936, angle = 85.73746, collision = h2108B1
x = 973.8192, y = -380.5682, z = 886.0884, angle = 111.1648, collision = h2108B1
x = 972.6623, y = -380.5942, z = 886.5837, angle = 114.6031, collision = h2108B1
x = 971.4548, y = -380.5684, z = 886.0925, angle = 88.57318, collision = h2108B1
x = 970.1556, y = -380.5613, z = 885.9563, angle = 109.8058, collision = h2108B1
x = 968.9775, y = -380.586, z = 886.4273, angle = 119.3691, collision = h2108B1
x = 967.8447, y = -380.3964, z = 886.6309, angle = 89.66318, collision = h2108B1
x = 966.7339, y = -380.3995, z = 886.6902, angle = 91.20226, collision = h0108B1
x = 965.5606, y = -380.3974, z = 886.6508, angle = 79.98235, collision = h0108B1
x = 964.408, y = -380.3825, z = 886.3674, angle = 47.40795, collision = h0108B1
x = 963.3491, y = -380.375, z = 886.2231, angle = 32.96814, collision = h0108B1
x = 963.4695, y = -380.301, z = 884.8113, angle = -8.256524, collision = h0108B1
x = 963.61, y = -380.2386, z = 883.6219, angle = 3.577872, collision = h0108B1
x = 963.5115, y = -380.1817, z = 882.5346, angle = 7.355021, collision = h0108B1
x = 962.1345, y = -379.8843, z = 886.6175, angle = 87.58488, collision = h0108B1
x = 961.1089, y = -379.5902, z = 886.5663, angle = 87.32082, collision = h0108B1
x = 959.937, y = -379.6777, z = 886.7405, angle = 100.6681, collision = h0108B1
x = 958.842, y = -379.6918, z = 886.9719, angle = 100.5485, collision = h0108B1
x = 957.3789, y = -379.7099, z = 887.2431, angle = 107.2208, collision = h0108B1
x = 956.163, y = -379.7299, z = 887.7161, angle = 120.9037, collision = h0108B1
x = 954.8693, y = -379.7559, z = 888.4448, angle = 112.3807, collision = h0104B1
x = 953.5992, y = -379.3734, z = 888.7795, angle = 95.603, collision = h0104B1
x = 952.4223, y = -379.3858, z = 888.893, angle = 77.87945, collision = h0104B1
x = 951.4365, y = -379.3822, z = 888.3001, angle = 18.20516, collision = h0104B1
x = 951.1428, y = -379.3614, z = 887.1532, angle = 18.17123, collision = h0104B1
x = 950.744, y = -379.3434, z = 886.1057, angle = 18.96729, collision = h0104B1
x = 950.3555, y = -379.3229, z = 884.9316, angle = 18.41695, collision = h0104B1
x = 950.0369, y = -379.3061, z = 883.9729, angle = 18.48137, collision = h0104B1
x = 949.684, y = -379.2879, z = 882.9313, angle = 19.27507, collision = h0104B1
x = 948.9219, y = -379.3097, z = 883.6789, angle = 118.2448, collision = h0104B1
x = 948.7003, y = -379.339, z = 885.0269, angle = -151.2334, collision = h0104B1
x = 949.3112, y = -379.3593, z = 886.2803, angle = -152.2245, collision = h0104B1
x = 949.813, y = -379.3735, z = 887.1905, angle = -136.1089, collision = h0104B1
x = 951.9768, y = -379.4122, z = 890.0026, angle = 156.362, collision = h0104B1
x = 950.6797, y = -379.4318, z = 890.4179, angle = 104.5701, collision = h0104B1
x = 950.6287, y = -379.4109, z = 889.3699, angle = -11.01685, collision = h0104B1
x = 952.0622, y = -379.3366, z = 886.326, angle = -36.56006, collision = h0104B1
x = 952.3193, y = -379.3135, z = 885.2998, angle = -21.91373, collision = h0104B1
x = 952.0383, y = -379.2945, z = 884.2479, angle = 14.63875, collision = h0104B1
x = 951.7205, y = -379.273, z = 883.0599, angle = 8.507861, collision = h0104B1
x = 951.2572, y = -379.2567, z = 882.0624, angle = -4.801432, collision = h0104B1
x = 950.8991, y = -379.2301, z = 880.6045, angle = 11.88949, collision = h0104B1
x = 976.2051, y = -395.9984, z = 870.9744, angle = -90.03662, collision = h0108B1
x = 977.6332, y = -395.9976, z = 870.9601, angle = -80.30589, collision = h0108B1
x = 978.9063, y = -395.9866, z = 870.7509, angle = -60.80669, collision = h0108B1
x = 979.9569, y = -395.9621, z = 870.2817, angle = -51.9184, collision = h0108B1
x = 984.003, y = -387.8475, z = 872.5399, angle = -146.6118, collision = h0108B1
x = 987.5624, y = -396.3347, z = 877.3935, angle = -159.0269, collision = h0108B1
x = 985.5342, y = -396.3255, z = 877.1061, angle = 76.87581, collision = h0108B1
x = 982.6677, y = -396.529, z = 876.1676, angle = 59.76866, collision = h0108B1
x = 980.6022, y = -396.198, z = 874.7842, angle = 27.24412, collision = h0108B1
x = 979.9756, y = -396.1382, z = 873.6423, angle = 5.513711, collision = h0108B1
x = 979.7942, y = -396.0754, z = 872.4448, angle = -5.023563, collision = h0108B1
x = 982.7089, y = -388.0275, z = 871.7407, angle = 173.1176, collision = h0108B1
x = 983.9077, y = -384.5458, z = 881.7352, angle = -172.9302, collision = h0108B1
x = 984.2244, y = -384.6062, z = 882.8883, angle = -116.6596, collision = h0108B1
x = 985.1124, y = -384.6307, z = 883.3565, angle = -79.64146, collision = h0108B1
x = 986.4412, y = -384.6237, z = 883.2228, angle = -133.7301, collision = h0108B1
x = 972.5031, y = -380.5403, z = 885.5557, angle = 102.3274, collision = h2108B1
x = 949.6274, y = -379.267, z = 881.882, angle = 16.9812, collision = h0104B1
x = 948.8502, y = -379.1356, z = 875.1003, angle = 13.56635, collision = h0104B1
x = 947.8903, y = -379.1509, z = 875.425, angle = 94.25672, collision = h0104B1
x = 946.8683, y = -379.1405, z = 875.5107, angle = 95.20031, collision = h0104B1
x = 945.7475, y = -379.1724, z = 875.6009, angle = 83.67079, collision = h0104B1
x = 944.6179, y = -379.1831, z = 875.4567, angle = 111.8429, collision = h0104B1
x = 943.5707, y = -379.2073, z = 875.8871, angle = 102.6663, collision = h0104B1
x = 942.4783, y = -379.2115, z = 876.1094, angle = 76.64096, collision = h0104B1
x = 941.3376, y = -379.2205, z = 876.1062, angle = 132.3402, collision = h0104B1
x = 940.4057, y = -379.2702, z = 876.9194, angle = 125.7295, collision = h0104B1
x = 939.5186, y = -379.265, z = 877.5302, angle = 87.40477, collision = h0104B1
x = 938.5426, y = -379.2587, z = 877.0822, angle = 82.67141, collision = h0104B1
x = 937.3815, y = -379.2702, z = 876.8852, angle = 96.25495, collision = h0104B1
x = 936.3776, y = -379.288, z = 877.3326, angle = 126.4797, collision = h0104B1
x = 935.4428, y = -379.3059, z = 877.8189, angle = 70.01573, collision = h0104B1
x = 934.7277, y = -379.3321, z = 878.8071, angle = 142.3002, collision = h0104B1
x = 938.4261, y = -379.288, z = 878.1974, angle = -157.2005, collision = h0104B1
x = 939.2406, y = -379.2763, z = 878.9643, angle = -126.3117, collision = h0104B1
x = 939.832, y = -379.2888, z = 879.8254, angle = -177.5078, collision = h0104B1
x = 940.0328, y = -379.3108, z = 880.9979, angle = -174.4892, collision = h0104B1
x = 939.938, y = -379.3613, z = 882.435, angle = 95.5028, collision = h0104B1
x = 938.7073, y = -379.3745, z = 882.5603, angle = 45.56254, collision = h0104B1
x = 937.8654, y = -379.3588, z = 881.4382, angle = 9.939783, collision = h0104B1
x = 937.6343, y = -379.3343, z = 880.1359, angle = 21.97978, collision = h0104B1
x = 937.0664, y = -379.3112, z = 878.765, angle = 94.56429, collision = h0104B1
x = 935.8541, y = -379.3229, z = 878.8297, angle = 161.9957, collision = h0104B1
x = 935.4267, y = -379.355, z = 880.2231, angle = -169.1275, collision = h0104B1
x = 935.7236, y = -379.3805, z = 881.6018, angle = -162.849, collision = h0104B1
x = 936.3094, y = -379.3998, z = 882.7943, angle = -106.8881, collision = h0104B1
x = 937.501, y = -379.4025, z = 883.428, angle = -167.5397, collision = h0104B1
x = 937.8102, y = -379.4199, z = 884.4166, angle = -175.0912, collision = h0104B1
x = 937.8623, y = -379.4463, z = 885.7332, angle = 161.4422, collision = h0104B1
x = 937.2762, y = -379.4785, z = 887.0652, angle = 139.4406, collision = h0104B1
x = 937.1688, y = -379.5052, z = 888.3353, angle = -157.3791, collision = h0104B1
x = 937.6479, y = -379.5292, z = 889.712, angle = 179.2922, collision = h0104B1
x = 937.66, y = -379.556, z = 891.0337, angle = -148.0804, collision = h0104B1
x = 938.4323, y = -379.5748, z = 892.2809, angle = -125.6678, collision = h0104B1
x = 939.5751, y = -379.5755, z = 892.7974, angle = -8.926046, collision = h0104B1
x = 939.7114, y = -379.5514, z = 891.67, angle = 35.16751, collision = h0104B1
x = 939.1111, y = -379.5395, z = 890.8358, angle = 28.75619, collision = h0104B1
x = 938.2207, y = -379.5048, z = 888.7536, angle = 45.15488, collision = h0104B1
x = 939.1478, y = -379.4382, z = 885.8766, angle = -110.9294, collision = h0104B1
x = 940.3821, y = -379.4374, z = 886.3558, angle = -165.9492, collision = h0104B1
x = 940.8246, y = -379.4593, z = 887.6177, angle = -168.608, collision = h0104B1
x = 941.0299, y = -379.4781, z = 888.6257, angle = -175.0134, collision = h0104B1
x = 941.0812, y = -379.5051, z = 889.9763, angle = 166.8057, collision = h0104B1
x = 941.2006, y = -379.5311, z = 891.3042, angle = -74.79253, collision = h0104B1
x = 942.345, y = -379.5178, z = 891.1301, angle = -19.9687, collision = h0104B1
x = 942.8566, y = -379.495, z = 890.225, angle = 16.23679, collision = h0104B1
x = 942.449, y = -379.4711, z = 888.8821, angle = 27.19059, collision = h0104B1
x = 941.9927, y = -379.4519, z = 887.7455, angle = 5.100143, collision = h0104B1
x = 941.9124, y = -379.431, z = 886.6844, angle = 13.95887, collision = h0104B1
x = 941.7491, y = -379.412, z = 885.6851, angle = -43.24989, collision = h0104B1
x = 942.6093, y = -379.3856, z = 884.7516, angle = -70.57961, collision = h0104B1
x = 943.915, y = -379.3658, z = 884.3275, angle = -86.07594, collision = h0104B1
x = 945.3176, y = -379.3526, z = 884.2708, angle = -137.6558, collision = h0104B1
x = 946.2114, y = -379.3669, z = 885.347, angle = -154.5498, collision = h0104B1
x = 946.8003, y = -379.3872, z = 886.5926, angle = -148.0492, collision = h0104B1
x = 947.3274, y = -379.4, z = 887.4451, angle = -95.86702, collision = h0104B1
x = 944.6624, y = -379.3823, z = 885.4542, angle = -144.6851, collision = h0104B1
x = 945.5257, y = -379.3996, z = 886.6663, angle = -143.6082, collision = h0104B1
x = 946.2863, y = -379.4151, z = 887.7481, angle = -162.4063, collision = h0104B1
x = 946.7038, y = -379.4405, z = 889.1702, angle = 169.7557, collision = h0104B1
