x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = -4.621568, y = -9.942549, z = -104.3115, angle = 41.67947, collision = h1204B1
x = -5.424977, y = -9.942097, z = -105.0466, angle = 125.3123, collision = h1204B1
x = -0.9481291, y = -12.08582, z = -101.2869, angle = -100.5196, collision = h1079B1
x = -14.52866, y = -22.733, z = -99.20344, angle = 17.62171, collision = h1104B1
x = -13.72819, y = -22.733, z = -100.0283, angle = -66.63323, collision = h1104B1
x = -12.82893, y = -22.733, z = -100.7156, angle = -46.47667, collision = h1104B1
x = -15.07167, y = -22.91125, z = -97.17554, angle = 153.0544, collision = h1104B1
x = -17.93052, y = -22.79343, z = -96.21599, angle = 93.90018, collision = h1104B1
x = -19.29957, y = -22.77965, z = -96.20629, angle = 74.36616, collision = h1104B1
x = -20.35115, y = -22.77965, z = -95.96571, angle = -130.1449, collision = h1104B1
x = -17.23745, y = -22.91125, z = -95.3453, angle = 162.5293, collision = h1104B1
x = -16.64112, y = -22.91125, z = -94.45984, angle = -72.2907, collision = h1104B1
x = -15.3073, y = -22.91125, z = -94.67467, angle = -110.7598, collision = h1104B1
x = -14.06836, y = -22.91125, z = -94.11778, angle = -140.6931, collision = h1104B1
x = -13.2451, y = -22.91125, z = -93.01763, angle = -128.4746, collision = h1104B1
x = -12.48446, y = -23.52067, z = -92.26712, angle = -160.4652, collision = h1104B1
x = -11.93353, y = -24.09109, z = -91.60829, angle = -108.3432, collision = h1104B1
x = -11.13624, y = -24.6475, z = -91.22176, angle = -100.2997, collision = h1104B1
x = -10.21704, y = -25.44386, z = -90.39529, angle = -153.0774, collision = h1104B1
x = -9.780609, y = -26.03493, z = -89.58656, angle = -158.2829, collision = h1104B1
x = -8.958068, y = -26.80337, z = -88.73634, angle = -162.4915, collision = h1104B1
x = -8.869372, y = -26.96165, z = -87.54627, angle = 133.9412, collision = h1104B1
x = -9.741238, y = -27.69758, z = -86.75697, angle = 133.4117, collision = h1104B1
x = -10.34285, y = -28.26493, z = -86.14011, angle = 129.2176, collision = h1092B1
x = -11.14606, y = -28.57157, z = -85.4607, angle = 112.4497, collision = h1092B1
x = -12.10743, y = -28.76442, z = -84.99404, angle = 109.0568, collision = h1092B1
x = -12.96101, y = -28.83195, z = -85.69367, angle = 47.19817, collision = h1092B1
x = -13.63704, y = -28.74647, z = -86.549, angle = 36.35764, collision = h1092B1
x = -14.30453, y = -28.70317, z = -87.48592, angle = 10.90841, collision = h1092B1
x = -14.29472, y = -28.4957, z = -88.61766, angle = -8.891294, collision = h1092B1
x = -15.18403, y = -28.69663, z = -88.08315, angle = 138.1213, collision = h1092B1
x = -14.74172, y = -28.86905, z = -86.55536, angle = 175.3768, collision = h1092B1
x = -15.06891, y = -29.09347, z = -85.47157, angle = 133.0708, collision = h1092B1
x = -16.14946, y = -29.47137, z = -84.4342, angle = 125.0627, collision = h1092B1
x = -17.38961, y = -29.86079, z = -83.61558, angle = 172.963, collision = h1092B1
x = -17.72108, y = -30.18104, z = -82.33945, angle = -174.7216, collision = h1092B1
x = -17.93125, y = -30.60965, z = -81.02836, angle = 118.8936, collision = h1092B1
x = -17.87356, y = -30.86426, z = -79.71458, angle = -168.798, collision = h1092B1
x = -17.65556, y = -30.94126, z = -78.72104, angle = -154.647, collision = h1092B1
x = -16.82, y = -31.10951, z = -77.73424, angle = -90.01476, collision = h1092B1
x = -15.43382, y = -30.87679, z = -77.70528, angle = -122.7378, collision = h1092B1
x = -14.33961, y = -31.07317, z = -77.10998, angle = -89.87955, collision = h1092B1
x = -13.17542, y = -31.07452, z = -77.31298, angle = -54.70356, collision = h1092B1
x = -12.19938, y = -31.08484, z = -78.19344, angle = -78.82423, collision = h1092B1
x = -11.09891, y = -31.12594, z = -78.71427, angle = -77.61666, collision = h1092B1
x = -10.03596, y = -31.16939, z = -79.14461, angle = -104.8543, collision = h1092B1
x = -8.800209, y = -31.27176, z = -78.84196, angle = -104.0677, collision = h1092B1
x = -7.759441, y = -31.00185, z = -78.59043, angle = -25.26451, collision = h1092B1
x = -7.251059, y = -31.31754, z = -79.85327, angle = -20.27738, collision = h1092B1
x = -6.632301, y = -31.32535, z = -81.03034, angle = -106.1923, collision = h1092B1
x = -5.285218, y = -31.40294, z = -80.66437, angle = -80.66355, collision = h1092B1
x = -4.153449, y = -31.47743, z = -81.324, angle = -31.17481, collision = h1092B1
x = -3.222415, y = -31.54666, z = -82.09274, angle = -141.9993, collision = h1092B1
x = -2.226141, y = -31.3972, z = -81.13325, angle = -92.24474, collision = h1092B1
x = -1.56828, y = -31.36638, z = -80.10909, angle = -145.9569, collision = h1092B1
x = -0.7045492, y = -31.4085, z = -79.49457, angle = -119.6319, collision = h1083B1
x = -1.163897, y = -31.40377, z = -78.39449, angle = -120.3257, collision = h1083B1
x = -0.3070095, y = -31.40158, z = -77.86613, angle = -122.179, collision = h1083B1
x = 0.3263616, y = -31.39876, z = -76.92835, angle = 158.1403, collision = h1083B1
x = 0.4706226, y = -31.39794, z = -75.70971, angle = -81.13508, collision = h1083B1
x = -1.847561, y = -31.65779, z = -82.08323, angle = -78.92783, collision = h1092B1
x = -0.7123505, y = -31.71395, z = -82.47646, angle = -80.9819, collision = h1092B1
x = 0.4532191, y = -31.79299, z = -82.81024, angle = -62.67275, collision = h1092B1
x = 1.640552, y = -31.8917, z = -83.4249, angle = -63.13059, collision = h1092B1
x = 2.648423, y = -31.94034, z = -84.09358, angle = 8.502234, collision = h1092B1
x = 2.494306, y = -32.14602, z = -85.29456, angle = 55.01354, collision = h1092B1
x = 3.153887, y = -32.86993, z = -86.35099, angle = -137.2889, collision = h1092B1
x = 4.247548, y = -33.3008, z = -85.55698, angle = -44.40369, collision = h1092B1
x = 4.921967, y = -33.90155, z = -86.1694, angle = -35.29897, collision = h1092B1
x = 5.480196, y = -34.46649, z = -86.90228, angle = -59.58919, collision = h1086B1
x = 6.647015, y = -34.41628, z = -87.2904, angle = -94.18331, collision = h1086B1
x = 7.849151, y = -34.40516, z = -87.58154, angle = -32.89329, collision = h1086B1
x = 8.427744, y = -34.52825, z = -88.48133, angle = -32.27874, collision = h1086B1
x = 9.447518, y = -34.83759, z = -89.1871, angle = -93.70566, collision = h1086B1
x = 10.74405, y = -34.83414, z = -89.42298, angle = -30.81085, collision = h1086B1
x = 10.91314, y = -34.83293, z = -90.41975, angle = 45.13834, collision = h1086B1
x = 10.14695, y = -34.83635, z = -91.22298, angle = 24.13244, collision = h1086B1
x = 9.893796, y = -34.83604, z = -92.25111, angle = 4.731299, collision = h1086B1
x = 8.977499, y = -34.83909, z = -92.76899, angle = -12.89851, collision = h1086B1
x = 8.713551, y = -34.84005, z = -93.80978, angle = -22.58241, collision = h1086B1
x = 9.212817, y = -34.83887, z = -94.76471, angle = -29.18313, collision = h1086B1
x = 10.02244, y = -34.83722, z = -95.84602, angle = -21.49996, collision = h1086B1
x = 10.72101, y = -34.83685, z = -96.97502, angle = -31.83554, collision = h1086B1
x = 11.28821, y = -34.83686, z = -97.91156, angle = -51.29759, collision = h1086B1
x = 12.07977, y = -34.83613, z = -98.54632, angle = -51.29759, collision = h1086B1
x = 12.11727, y = -34.83922, z = -99.55524, angle = 17.17162, collision = h1086B1
x = 11.98922, y = -34.84344, z = -100.5546, angle = 17.17162, collision = h1086B1
x = 9.884526, y = -34.83541, z = -93.56956, angle = -172.5265, collision = h1086B1
x = 11.16677, y = -34.83657, z = -88.183, angle = -155.1797, collision = h1086B1
x = 11.59755, y = -34.83807, z = -87.1759, angle = -170.2376, collision = h1086B1
x = 12.33432, y = -34.83732, z = -86.02425, angle = -140.7301, collision = h1086B1
x = 13.06817, y = -34.83591, z = -85.24441, angle = -133.8005, collision = h1086B1
x = 13.73538, y = -34.83471, z = -84.48264, angle = -138.6787, collision = h1086B1
x = 14.43397, y = -34.83348, z = -83.66191, angle = -139.888, collision = h1086B1
x = 13.76925, y = -34.83824, z = -82.48066, angle = 169.3609, collision = h1086B1
x = 13.46575, y = -34.84188, z = -81.13306, angle = -137.9772, collision = h1086B1
x = 14.69635, y = -34.8373, z = -81.02369, angle = -39.80151, collision = h1086B1
x = 15.39006, y = -34.83309, z = -81.84247, angle = -9.14412, collision = h1086B1
x = 12.74513, y = -34.84065, z = -83.33395, angle = 51.85967, collision = h1086B1
x = 12.01859, y = -34.84179, z = -84.24976, angle = -39.31985, collision = h1086B1
x = 12.65407, y = -34.83434, z = -86.98005, angle = 19.63867, collision = h1086B1
x = 12.43139, y = -34.83308, z = -88.13775, angle = -29.59583, collision = h1086B1
x = 12.81497, y = -34.83111, z = -89.23692, angle = -10.64653, collision = h1086B1
x = 11.83259, y = -34.83169, z = -89.84517, angle = 83.28405, collision = h1086B1
x = 1.736398, y = -31.98919, z = -84.6323, angle = 133.9639, collision = h1092B1
x = 1.428516, y = -31.46926, z = -82.27098, angle = -47.63271, collision = h1092B1
x = 0.4597002, y = -31.88101, z = -83.92027, angle = 105.5107, collision = h1092B1
x = -0.8106637, y = -31.76779, z = -83.49684, angle = 127.1689, collision = h1092B1
x = -8.201298, y = -31.23289, z = -80.55965, angle = 140.426, collision = h1092B1
x = -13.29355, y = -30.95675, z = -78.30608, angle = 120.7327, collision = h1092B1
x = -15.40695, y = -31.10667, z = -76.67426, angle = 175.0807, collision = h1092B1
x = -15.73844, y = -31.20159, z = -75.27188, angle = 131.5881, collision = h1092B1
x = -16.70976, y = -31.33508, z = -74.37899, angle = 136.5253, collision = h1092B1
x = -17.44328, y = -31.46431, z = -73.25426, angle = -148.9892, collision = h1092B1
x = -16.83442, y = -31.48724, z = -72.00001, angle = -148.8601, collision = h1092B1
x = -17.91177, y = -31.6998, z = -72.17562, angle = 73.16653, collision = h1084B1
x = -18.74781, y = -31.90935, z = -71.53445, angle = -171.4609, collision = h1084B1
x = -18.6627, y = -32.00778, z = -70.50613, angle = 160.6239, collision = h1084B1
x = -19.06056, y = -32.13594, z = -69.19972, angle = 129.8512, collision = h1084B1
x = -19.88314, y = -32.20129, z = -68.53006, angle = 103.729, collision = h1084B1
x = -21.13859, y = -32.31263, z = -67.99674, angle = 110.731, collision = h1084B1
x = -22.42589, y = -32.54916, z = -67.83865, angle = 67.72002, collision = h1084B1
x = -23.59734, y = -32.68142, z = -68.33293, angle = 62.70439, collision = h1084B1
x = -24.74599, y = -32.79272, z = -69.03004, angle = 38.20499, collision = h1084B1
x = -25.41864, y = -32.79963, z = -69.86615, angle = 51.17306, collision = h1084B1
x = -26.32986, y = -32.85612, z = -70.61953, angle = 28.40009, collision = h1084B1
x = -26.01031, y = -32.62866, z = -71.69755, angle = -10.70823, collision = h1084B1
x = -26.60995, y = -32.5093, z = -72.52433, angle = 84.00745, collision = h1084B1
x = -27.72287, y = -32.66325, z = -72.4208, angle = 111.2673, collision = h1084B1
x = -28.94573, y = -33.01907, z = -71.81281, angle = 145.5552, collision = h1084B1
x = -29.59423, y = -33.33949, z = -70.96012, angle = 92.84029, collision = h1084B1
x = -30.89334, y = -33.54691, z = -70.88976, angle = 23.68101, collision = h1084B1
x = -30.0431, y = -33.55493, z = -69.85472, angle = -104.1577, collision = h1084B1
x = -28.71847, y = -33.42345, z = -69.50157, angle = -174.7985, collision = h1084B1
x = -28.61509, y = -33.65066, z = -68.4958, angle = 154.0963, collision = h1084B1
x = -29.21486, y = -33.72313, z = -67.2547, angle = 141.285, collision = h1084B1
x = -30.24269, y = -33.78383, z = -66.48047, angle = 87.38303, collision = h1084B1
x = -31.31125, y = -33.76936, z = -66.0163, angle = 169.5541, collision = h1084B1
x = -31.56379, y = -34.03883, z = -64.65836, angle = 165.0075, collision = h1084B1
x = -31.88278, y = -34.17222, z = -63.63974, angle = 139.7719, collision = h1084B1
x = -32.76786, y = -34.35507, z = -62.57916, angle = 140.6115, collision = h1084B1
x = -33.56675, y = -34.54862, z = -61.45709, angle = 165.5176, collision = h1084B1
x = -33.93179, y = -34.6798, z = -60.4509, angle = 165.5176, collision = h1084B1
x = -34.6058, y = -34.83538, z = -59.58435, angle = 156.2662, collision = h1084B1
x = -35.27098, y = -34.96976, z = -58.71254, angle = 150.9464, collision = h1085B1
x = -35.9706, y = -35.12712, z = -57.49781, angle = 155.954, collision = h1085B1
x = -36.38346, y = -35.27237, z = -56.54677, angle = 160.443, collision = h1085B1
x = -35.34608, y = -35.1629, z = -56.42936, angle = -91.91607, collision = h1085B1
x = -36.98144, y = -35.14657, z = -58.18353, angle = 29.81633, collision = h1085B1
x = -37.0062, y = -34.95876, z = -59.27322, angle = -76.69485, collision = h1085B1
x = -34.32177, y = -34.98928, z = -56.42977, angle = -79.476, collision = h1090B1
x = -33.42633, y = -35.00399, z = -55.91522, angle = 163.2408, collision = h1090B1
x = -33.9855, y = -35.01019, z = -54.82314, angle = 138.1977, collision = h1090B1
x = -32.7991, y = -35.02445, z = -54.6646, angle = -13.20688, collision = h1090B1
x = -32.42964, y = -35.00637, z = -56.58865, angle = 17.04873, collision = h1090B1
x = -36.34197, y = -34.84033, z = -60.08039, angle = -104.8759, collision = h1085B1
x = -32.2885, y = -34.41574, z = -61.39854, angle = -23.9614, collision = h1084B1
x = -31.76547, y = -34.26595, z = -62.30101, angle = 15.93252, collision = h1084B1
x = -32.59613, y = -33.96945, z = -65.35732, angle = -11.57112, collision = h1084B1
x = -32.40744, y = -33.82422, z = -66.69274, angle = -37.16315, collision = h1084B1
x = -31.48908, y = -33.68417, z = -67.68697, angle = -49.91553, collision = h1084B1
x = -30.62292, y = -33.61745, z = -68.68806, angle = 22.64519, collision = h1084B1
x = -30.4233, y = -33.15729, z = -71.95029, angle = 76.66614, collision = h1084B1
x = -31.72281, y = -32.634, z = -72.20577, angle = 70.28188, collision = h1084B1
x = -32.69742, y = -32.3639, z = -72.56336, angle = 29.78189, collision = h1089B1
x = -33.09533, y = -32.36404, z = -73.80695, angle = -21.14678, collision = h1089B1
x = -32.51834, y = -32.36419, z = -75.05884, angle = -21.93106, collision = h1089B1
x = -33.55151, y = -32.36425, z = -75.2992, angle = 151.3333, collision = h1089B1
x = -34.18789, y = -32.36418, z = -74.13111, angle = 141.8226, collision = h1089B1
x = -34.73115, y = -32.36419, z = -72.92115, angle = -113.7988, collision = h1089B1
x = -31.98281, y = -32.36403, z = -73.58073, angle = -167.5361, collision = h1089B1
x = -27.96101, y = -33.67163, z = -67.54691, angle = -169.6731, collision = h1084B1
x = -27.66739, y = -33.70578, z = -66.40847, angle = -162.0333, collision = h1084B1
x = -27.35847, y = -33.72898, z = -65.34312, angle = -165.7611, collision = h1084B1
x = -26.92497, y = -33.72839, z = -64.42776, angle = -129.6858, collision = h1084B1
x = -26.08901, y = -33.5235, z = -63.63529, angle = -171.0495, collision = h1084B1
x = -26.23862, y = -32.87061, z = -62.64404, angle = -171.4704, collision = h1084B1
x = -25.89567, y = -32.34466, z = -62.24691, angle = -124.0248, collision = h1084B1
x = -24.73511, y = -31.99987, z = -61.50517, angle = -122.1229, collision = h1091B1
x = -23.76664, y = -32.00256, z = -60.61247, angle = 172.2203, collision = h1091B1
x = -24.14866, y = -32.0044, z = -59.34876, angle = 140.7411, collision = h1091B1
x = -23.7108, y = -32.00758, z = -58.08744, angle = -78.28621, collision = h1091B1
x = -22.7631, y = -32.00768, z = -58.821, angle = -33.30119, collision = h1091B1
x = -22.10551, y = -32.00642, z = -60.01294, angle = -53.32561, collision = h1091B1
x = -22.60473, y = -32.0038, z = -60.93631, angle = 106.6402, collision = h1091B1
x = -26.71309, y = -33.37792, z = -67.82115, angle = -54.31398, collision = h1084B1
x = -25.17311, y = -32.44316, z = -72.40988, angle = -47.98219, collision = h1084B1
x = -24.22293, y = -32.22518, z = -73.42622, angle = 5.45754, collision = h1084B1
x = -24.28, y = -32.02903, z = -74.78917, angle = -28.01219, collision = h1084B1
x = -23.68363, y = -31.90661, z = -76.03536, angle = -0.2213255, collision = h1084B1
x = -23.61964, y = -31.78473, z = -77.40622, angle = 9.58699, collision = h1084B1
x = -23.16671, y = -31.66579, z = -78.54816, angle = -84.26942, collision = h1084B1
x = -21.81111, y = -31.42554, z = -78.65506, angle = -96.21796, collision = h1084B1
x = -20.68344, y = -31.20364, z = -78.79076, angle = -8.029325, collision = h1092B1
x = -20.43293, y = -31.02567, z = -79.81728, angle = 13.62354, collision = h1092B1
x = -20.71996, y = -30.97901, z = -81.10921, angle = -72.49053, collision = h1092B1
x = -19.62963, y = -30.73502, z = -81.49786, angle = -90.64583, collision = h1092B1
x = -15.15938, y = -29.5016, z = -83.72523, angle = -21.26092, collision = h1092B1
x = -16.43342, y = -29.90548, z = -82.80054, angle = -82.96471, collision = h1092B1
x = -13.95367, y = -29.20297, z = -84.10168, angle = -55.77535, collision = h1092B1
x = -11.23055, y = -28.73695, z = -83.98563, angle = -149.4384, collision = h1092B1
x = -12.627, y = -30.47632, z = -82.00841, angle = 170.0666, collision = h1092B1
x = -11.72111, y = -30.6578, z = -81.32586, angle = 164.4984, collision = h1092B1
x = -11.95314, y = -30.66181, z = -80.27785, angle = -170.8967, collision = h1092B1
x = -18.06238, y = -31.13234, z = -77.16684, angle = 133.1131, collision = h1092B1
x = -18.92174, y = -31.27945, z = -76.49067, angle = 111.9983, collision = h1084B1
x = -20.19347, y = -31.58136, z = -75.94154, angle = 114.258, collision = h1084B1
x = -21.45727, y = -31.84396, z = -75.3729, angle = 113.5011, collision = h1084B1
x = -22.62376, y = -32.05688, z = -74.66061, angle = 146.4153, collision = h1084B1
x = -27.28485, y = -33.21238, z = -69.64028, angle = 138.7251, collision = h1084B1
x = -35.29643, y = -34.81488, z = -60.49444, angle = 111.4667, collision = h1085B1
x = -37.53453, y = -35.54034, z = -56.04615, angle = 92.02254, collision = h1085B1
x = -38.92122, y = -35.76764, z = -55.99217, angle = 114.8073, collision = h1085B1
x = -39.96458, y = -36.25903, z = -55.25669, angle = -179.7138, collision = h1085B1
x = -39.96733, y = -36.56825, z = -54.18737, angle = -173.8566, collision = h1085B1
x = -40.14978, y = -36.84513, z = -52.90216, angle = 101.5977, collision = h1085B1
x = -41.44686, y = -37.09796, z = -52.53672, angle = 170.4639, collision = h1085B1
x = -41.48604, y = -36.90572, z = -51.45405, angle = -143.3619, collision = h1085B1
x = -40.97898, y = -36.22009, z = -50.71195, angle = 103.3494, collision = h1085B1
x = -42.38255, y = -37.3629, z = -52.02111, angle = 82.36546, collision = h1085B1
x = -43.40725, y = -37.59604, z = -52.13809, angle = 139.1836, collision = h1085B1
x = -44.25134, y = -37.83461, z = -51.09174, angle = 143.4365, collision = h1085B1
x = -45.104, y = -38.09623, z = -50.03038, angle = 112.6059, collision = h1085B1
x = -46.34178, y = -38.49345, z = -49.41385, angle = 93.20319, collision = h1085B1
x = -47.20592, y = -38.64557, z = -50.37989, angle = 27.18822, collision = h1085B1
x = -48.00553, y = -38.77201, z = -51.33131, angle = 91.10028, collision = h1085B1
x = -49.08179, y = -38.90142, z = -51.35706, angle = 109.7664, collision = h1085B1
x = -50.32081, y = -39.05326, z = -50.84562, angle = -164.5281, collision = h1085B1
x = -49.78666, y = -39.11392, z = -49.91236, angle = -73.95059, collision = h1085B1
x = -48.44307, y = -38.95726, z = -50.17992, angle = -146.8039, collision = h1085B1
x = -48.05855, y = -39.00091, z = -49.08743, angle = 99.51711, collision = h1085B1
x = -49.37362, y = -39.20296, z = -48.80513, angle = 94.23725, collision = h1085B1
x = -50.72071, y = -39.57729, z = -48.57872, angle = 164.8661, collision = h1085B1
x = -51.05373, y = -39.8798, z = -47.56889, angle = -177.0096, collision = h1085B1
x = -50.91698, y = -40.19368, z = -46.19819, angle = 160.5618, collision = h1085B1
x = -51.50766, y = -40.50464, z = -45.17048, angle = 91.50625, collision = h1085B1
x = -52.88, y = -40.74939, z = -45.04962, angle = 127.6496, collision = h1085B1
x = -53.85199, y = -41.10481, z = -44.17369, angle = -133.7159, collision = h1085B1
x = -52.97351, y = -41.19252, z = -43.16892, angle = -160.4256, collision = h1085B1
x = -53.14695, y = -41.53418, z = -42.10609, angle = 55.47534, collision = h1085B1
x = -54.1371, y = -41.49588, z = -42.94707, angle = 5.754735, collision = h1085B1
x = -54.69514, y = -41.04959, z = -45.05415, angle = -25.33586, collision = h1085B1
x = -54.36797, y = -41.9664, z = -41.49989, angle = 138.3006, collision = h1085B1
x = -55.4916, y = -42.32606, z = -40.96536, angle = 72.97591, collision = h1085B1
x = -56.59719, y = -42.61052, z = -40.78481, angle = -151.6952, collision = h1085B1
x = -55.86099, y = -42.75482, z = -39.90717, angle = -58.4529, collision = h1085B1
x = -53.85818, y = -42.23808, z = -40.28267, angle = 151.909, collision = h1085B1
x = -54.47083, y = -42.63039, z = -39.445, angle = 113.3302, collision = h1085B1
x = -55.66439, y = -43.09464, z = -38.75613, angle = 147.0641, collision = h1085B1
x = -56.59068, y = -43.47467, z = -37.79179, angle = 43.07405, collision = h1093B1
x = -57.42264, y = -43.42997, z = -38.78983, angle = 79.18594, collision = h1085B1
x = -58.49607, y = -43.50408, z = -38.88271, angle = 167.7199, collision = h1093B1
x = -58.54115, y = -43.55362, z = -37.65707, angle = -108.7718, collision = h1093B1
x = -59.53495, y = -43.57322, z = -37.48485, angle = 102.2482, collision = h1093B1
x = -60.60571, y = -43.5732, z = -37.47447, angle = 58.58603, collision = h1093B1
x = -61.15708, y = -43.57322, z = -38.71434, angle = 77.45591, collision = h1093B1
x = -62.15741, y = -43.57321, z = -39.00725, angle = -148.513, collision = h1093B1
x = -60.62558, y = -43.57937, z = -36.36911, angle = 159.2666, collision = h1093B1
x = -61.15793, y = -43.58001, z = -35.476, angle = 66.21173, collision = h1093B1
x = -61.92238, y = -43.52609, z = -36.57048, angle = -23.37688, collision = h1093B1
x = -61.52945, y = -43.58162, z = -34.43344, angle = 84.44431, collision = h1093B1
x = -62.94097, y = -43.57567, z = -34.53656, angle = 141.3371, collision = h1093B1
x = -63.57774, y = -43.57609, z = -33.50256, angle = -141.9445, collision = h1093B1
x = -62.90293, y = -43.58206, z = -32.30497, angle = 155.1192, collision = h1093B1
x = -63.64407, y = -43.58165, z = -31.39482, angle = 48.47522, collision = h1093B1
x = -64.39162, y = -43.57589, z = -32.42369, angle = -40.97788, collision = h1093B1
x = -60.43658, y = -43.58673, z = -34.19731, angle = -137.4682, collision = h1093B1
x = -61.47848, y = -43.5849, z = -33.40136, angle = -43.93989, collision = h1093B1
x = -59.86781, y = -43.58326, z = -35.55815, angle = -124.4763, collision = h1093B1
x = -58.68564, y = -43.29475, z = -35.05481, angle = -88.05595, collision = h1088B1
x = -57.38725, y = -43.29528, z = -34.80794, angle = -141.0888, collision = h1088B1
x = -56.5337, y = -43.29583, z = -33.85629, angle = -140.469, collision = h1088B1
x = -57.35083, y = -43.29562, z = -33.18362, angle = 32.52956, collision = h1088B1
x = -62.60656, y = -42.98648, z = -36.20036, angle = 59.09681, collision = h1093B1
x = -63.9287, y = -42.92144, z = -36.52168, angle = 86.82166, collision = h1087B1
x = -65.23756, y = -42.92178, z = -36.77638, angle = 1.614411, collision = h1087B1
x = -65.36066, y = -42.92196, z = -37.83773, angle = 85.26496, collision = h1087B1
x = -66.19769, y = -42.9221, z = -37.13786, angle = -152.1105, collision = h1087B1
x = -64.16426, y = -42.92151, z = -35.45394, angle = -104.753, collision = h1087B1
x = -61.09184, y = -43.58316, z = -32.39423, angle = -146.133, collision = h1088B1
x = -60.33227, y = -43.57111, z = -31.13524, angle = -166.6194, collision = h1088B1
x = -60.09248, y = -43.56495, z = -29.78008, angle = -161.6546, collision = h1088B1
x = -59.00588, y = -43.56187, z = -29.76661, angle = -21.21175, collision = h1088B1
x = -58.45674, y = -43.56455, z = -30.88906, angle = 49.87079, collision = h1088B1
x = -64.93105, y = -43.57675, z = -31.21924, angle = -148.5001, collision = h1093B1
x = -64.45612, y = -43.58081, z = -30.24813, angle = -150.4853, collision = h1093B1
x = -66.03411, y = -43.57441, z = -31.46771, angle = 84.57802, collision = h1093B1
x = -67.14227, y = -43.57555, z = -31.35809, angle = 160.5966, collision = h1093B1
x = -67.33842, y = -43.57767, z = -30.07768, angle = -143.3134, collision = h1093B1
x = -66.35867, y = -43.5781, z = -29.2067, angle = -92.15843, collision = h1093B1
x = -65.18002, y = -43.58091, z = -28.74071, angle = 147.54, collision = h1093B1
x = -66.03526, y = -43.5797, z = -27.93052, angle = 71.37251, collision = h1093B1
x = -67.37471, y = -43.58033, z = -28.35065, angle = 66.1584, collision = h1093B1
x = -68.38853, y = -43.58064, z = -28.7322, angle = 116.4673, collision = h1093B1
x = -69.27928, y = -43.5826, z = -27.96221, angle = 156.4297, collision = h1093B1
x = -69.62663, y = -43.58474, z = -26.75725, angle = -157.5273, collision = h1093B1
x = -68.623, y = -43.58348, z = -27.00591, angle = -106.761, collision = h1093B1
x = -67.60969, y = -43.58408, z = -25.97932, angle = -155.7067, collision = h1093B1
x = -66.81153, y = -43.58509, z = -24.79915, angle = -73.53711, collision = h1093B1
x = -65.70252, y = -43.58604, z = -25.24596, angle = -20.6285, collision = h1093B1
x = -65.34457, y = -43.58559, z = -26.17972, angle = -20.29043, collision = h1093B1
x = -64.86958, y = -43.58495, z = -27.44735, angle = 2.997278, collision = h1093B1
x = -66.38287, y = -43.58168, z = -26.82066, angle = 140.9065, collision = h1093B1
x = -66.79395, y = -43.5867, z = -23.71018, angle = 123.0337, collision = h1193B1
x = -67.92908, y = -43.58664, z = -23.24505, angle = 89.85329, collision = h1193B1
x = -69.28548, y = -43.5887, z = -23.11905, angle = 145.0648, collision = h1193B1
x = -70.05901, y = -43.43806, z = -21.99204, angle = 164.4514, collision = h1193B1
x = -70.3227, y = -43.30392, z = -20.88687, angle = 169.601, collision = h1193B1
x = -70.54518, y = -43.28596, z = -19.8072, angle = 169.0624, collision = h1193B1
x = -71.25263, y = -43.47338, z = -18.94607, angle = -129.9021, collision = h1193B1
x = -70.53217, y = -43.55991, z = -18.24178, angle = -129.9021, collision = h1193B1
x = -72.49857, y = -43.57438, z = -18.65316, angle = -116.455, collision = h1193B1
x = -68.22856, y = -43.58592, z = -22.02504, angle = 101.8382, collision = h1193B1
x = -69.26041, y = -43.31403, z = -20.54123, angle = -166.9693, collision = h1193B1
x = -69.49957, y = -43.29116, z = -19.51808, angle = 124.3501, collision = h1193B1
x = -72.24973, y = -43.56584, z = -17.49305, angle = 151.7959, collision = h1193B1
x = -78.39259, y = -43.57241, z = -9.321649, angle = 33.37139, collision = h1122B1
x = -79.33293, y = -43.57977, z = -10.24169, angle = 126.7404, collision = h1122B1
x = -80.42429, y = -43.58232, z = -9.455446, angle = 140.6795, collision = h1122B1
x = -81.14699, y = -43.30527, z = -8.286364, angle = 149.2136, collision = h1122B1
x = -81.6212, y = -42.70118, z = -7.492549, angle = 149.3941, collision = h1122B1
x = -82.09178, y = -42.09765, z = -6.697464, angle = 149.8593, collision = h1122B1
x = -82.55622, y = -41.49428, z = -5.898786, angle = 150.6413, collision = h1122B1
x = -83.08397, y = -40.79139, z = -4.959969, angle = 151.9353, collision = h1122B1
x = -83.52033, y = -40.18817, z = -4.144755, angle = 153.3417, collision = h1122B1
x = -83.93964, y = -39.58236, z = -3.321075, angle = 153.7403, collision = h1122B1
x = -84.3623, y = -38.95861, z = -2.467592, angle = 154.0715, collision = h1122B1
x = -84.74069, y = -38.39302, z = -1.690773, angle = 154.0715, collision = h1122B1
x = -84.42463, y = -38.0261, z = -0.5953541, angle = 159.0075, collision = h1122B1
x = -83.76394, y = -38.10638, z = 0.2965316, angle = -138.5352, collision = h1122B1
x = -82.75404, y = -38.38411, z = 0.9326917, angle = -123.8932, collision = h1122B1
x = -81.82083, y = -38.63759, z = 1.335553, angle = -93.47753, collision = h1122B1
