x = 230.0119, y = 199.9796, z = 473.7116, angle = -139.4778, collision = h0102B0
x = 289.5619, y = 204.1523, z = 713.0318, angle = 0.4981257, collision = h0070B0
x = 289.5682, y = 203.5676, z = 712.0407, angle = -16.34113, collision = h0070B0
x = 289.8987, y = 202.8567, z = 710.7609, angle = -10.64907, collision = h0070B0
x = 290.0749, y = 202.3051, z = 709.7864, angle = 15.86697, collision = h0070B0
x = 289.6148, y = 201.555, z = 708.5928, angle = 70.71697, collision = h0070B0
x = 288.2533, y = 201.3452, z = 708.3049, angle = 134.5519, collision = h0070B0
x = 287.2296, y = 201.7225, z = 709.1372, angle = 130.0732, collision = h0070B0
x = 286.0125, y = 202.0644, z = 709.963, angle = 106.5453, collision = h0070B0
x = 285.0426, y = 201.9898, z = 709.5922, angle = 13.49453, collision = h0070B0
x = 284.6893, y = 201.4766, z = 708.5687, angle = 39.28196, collision = h0070B0
x = 283.8796, y = 201.0293, z = 707.527, angle = 41.32, collision = h0070B0
x = 282.8994, y = 200.5581, z = 706.4074, angle = 37.26655, collision = h0070B0
x = 282.1126, y = 200.0998, z = 705.3475, angle = 32.6216, collision = h0070B0
x = 281.2586, y = 199.5694, z = 704.1309, angle = 40.07691, collision = h0070B0
x = 280.418, y = 199.135, z = 703.1097, angle = 37.05061, collision = h0070B0
x = 279.6038, y = 198.5896, z = 701.8699, angle = 22.07428, collision = h0070B0
x = 279.1066, y = 198.0237, z = 700.6442, angle = 21.26346, collision = h0070B0
x = 278.5417, y = 197.3873, z = 699.2678, angle = 22.0478, collision = h0070B0
x = 278.035, y = 196.8175, z = 698.0462, angle = 47.22049, collision = h0070B0
x = 276.9741, y = 196.409, z = 697.0339, angle = 54.37654, collision = h0070B0
x = 275.8979, y = 196.1263, z = 696.2649, angle = 43.88366, collision = h0070B0
x = 275.2006, y = 195.5753, z = 695.0445, angle = 6.985207, collision = h0070B0
x = 274.8389, y = 194.9823, z = 693.8056, angle = 48.77318, collision = h0070B0
x = 273.6849, y = 194.6244, z = 692.8727, angle = 41.8125, collision = h0070B0
x = 272.8454, y = 194.568, z = 692.3062, angle = 149.3116, collision = h0070B0
x = 290.2918, y = 201.5284, z = 707.4332, angle = -8.290839, collision = h0070B0
x = 290.101, y = 201.0232, z = 706.5972, angle = 20.87683, collision = h0070B0
x = 290.0793, y = 200.52, z = 706.5912, angle = 41.80677, collision = h0070B0
x = 289.4486, y = 200.0119, z = 705.7127, angle = 45.49065, collision = h0070B0
x = 288.5356, y = 199.4485, z = 704.758, angle = 31.76634, collision = h0070B0
x = 287.8694, y = 198.7032, z = 703.4377, angle = 17.44269, collision = h0070B0
x = 287.4704, y = 198.0014, z = 702.1766, angle = 18.60923, collision = h0070B0
x = 286.8889, y = 197.3157, z = 700.944, angle = 29.81278, collision = h0070B0
x = 286.2349, y = 196.6765, z = 699.7943, angle = 23.92102, collision = h0070B0
x = 285.6153, y = 195.9243, z = 698.4421, angle = 43.74611, collision = h0070B0
x = 284.7694, y = 195.6909, z = 697.4357, angle = 32.11415, collision = h0070B0
x = 283.9356, y = 195.886, z = 696.2048, angle = 36.01786, collision = h0070B0
x = 283.1086, y = 196.0289, z = 695.0802, angle = 39.22851, collision = h0070B0
x = 282.248, y = 196.1776, z = 694.0775, angle = 48.57635, collision = h0070B0
x = 281.1067, y = 196.4198, z = 693.1266, angle = 65.55035, collision = h0070B0
x = 279.8907, y = 196.7454, z = 692.6486, angle = 55.23489, collision = h0070B0
x = 278.7233, y = 197.0105, z = 691.8254, angle = 69.37756, collision = h0070B0
x = 277.4126, y = 197.3841, z = 691.4896, angle = 123.0485, collision = h0070B0
x = 271.8048, y = 194.2504, z = 692.9691, angle = 139.4723, collision = h0070B0
x = 271.0549, y = 193.7192, z = 693.5093, angle = 147.271, collision = h0070B0
x = 271.5144, y = 193.1634, z = 694.579, angle = -153.4499, collision = h0070B0
x = 271.8758, y = 192.6587, z = 695.3145, angle = 108.5989, collision = h0070B0
x = 272.4297, y = 190.8281, z = 697.6285, angle = 107.106, collision = h0070B0
x = 269.4297, y = 186.7035, z = 699.7338, angle = 54.84737, collision = h0072B0
x = 268.3553, y = 186.7148, z = 699.4567, angle = 97.92262, collision = h0072B0
x = 267.2317, y = 186.7767, z = 699.7316, angle = 79.77359, collision = h0072B0
x = 266.5096, y = 186.7092, z = 698.9061, angle = -13.35033, collision = h0072B0
x = 266.8604, y = 186.7242, z = 697.6555, angle = -34.67462, collision = h0072B0
x = 267.5186, y = 186.9744, z = 696.7039, angle = -27.20209, collision = h0072B0
x = 269.0149, y = 187.0776, z = 696.4125, angle = -159.952, collision = h0072B0
x = 269.2365, y = 186.8625, z = 697.4688, angle = 141.6964, collision = h0072B0
x = 268.0739, y = 186.7018, z = 698.0605, angle = 33.367, collision = h0072B0
x = 269.7123, y = 186.6635, z = 698.5665, angle = -112.0758, collision = h0072B0
x = 270.9111, y = 186.7298, z = 698.883, angle = -55.91006, collision = h0072B0
x = 272.0164, y = 186.7914, z = 698.3984, angle = -82.22697, collision = h0072B0
x = 273.2869, y = 186.8434, z = 698.259, angle = -79.58839, collision = h0072B0
x = 273.6547, y = 186.6472, z = 699.2607, angle = 160.7274, collision = h0072B0
x = 273.2338, y = 186.8571, z = 700.6736, angle = 164.4196, collision = h0072B0
x = 273.0385, y = 186.8748, z = 701.7305, angle = -154.8645, collision = h0072B0
x = 273.5668, y = 186.4845, z = 702.8435, angle = -150.3108, collision = h0072B0
x = 274.2865, y = 186.1462, z = 704.1456, angle = -150.9442, collision = h0072B0
x = 274.9434, y = 186.1457, z = 705.2934, angle = -149.7592, collision = h0072B0
x = 275.6318, y = 186.0347, z = 706.6074, angle = -151.7442, collision = h0072B0
x = 276.2727, y = 185.8736, z = 707.7622, angle = -139.6087, collision = h0072B0
x = 277.2901, y = 185.6669, z = 708.8508, angle = -103.6736, collision = h0072B0
x = 278.5277, y = 185.6209, z = 709.1848, angle = -45.22203, collision = h0072B0
x = 279.3433, y = 186.0885, z = 708.0901, angle = 13.29188, collision = h0070B0
x = 279.0861, y = 186.6983, z = 706.7997, angle = 35.94171, collision = h0070B0
x = 278.5597, y = 187.1466, z = 705.9438, angle = 37.39541, collision = h0070B0
x = 277.8891, y = 187.7315, z = 704.8158, angle = 21.96993, collision = h0070B0
x = 277.2198, y = 188.388, z = 703.4927, angle = 28.54791, collision = h0070B0
x = 276.5753, y = 188.9762, z = 702.3378, angle = 30.14206, collision = h0070B0
x = 275.8802, y = 189.636, z = 701.0258, angle = 17.76094, collision = h0070B0
x = 275.4645, y = 190.2092, z = 699.7703, angle = 21.56141, collision = h0070B0
x = 274.9009, y = 190.8629, z = 698.3939, angle = 23.34846, collision = h0070B0
x = 274.3787, y = 191.446, z = 697.1786, angle = 20.57622, collision = h0070B0
x = 273.6425, y = 192.1289, z = 695.9422, angle = 24.57292, collision = h0070B0
x = 280.2236, y = 186.265, z = 707.3467, angle = -14.59457, collision = h0072B0
x = 280.52, y = 186.6525, z = 706.1388, angle = -0.3808377, collision = h0072B0
x = 279.8339, y = 186.8062, z = 704.3503, angle = 42.95946, collision = h0072B0
x = 279.0862, y = 186.7035, z = 703.4651, angle = 26.076, collision = h0072B0
x = 278.6595, y = 186.6755, z = 702.433, angle = 23.21501, collision = h0072B0
x = 278.1539, y = 186.7069, z = 701.2468, angle = 42.72136, collision = h0071B0
x = 277.9024, y = 187.0431, z = 700.0061, angle = 3.112217, collision = h0071B0
x = 277.84, y = 187.273, z = 698.8504, angle = 6.897371, collision = h0071B0
x = 277.683, y = 187.099, z = 697.7139, angle = 9.066598, collision = h0071B0
x = 277.4673, y = 187.4698, z = 696.4092, angle = 24.84443, collision = h0071B0
x = 276.8189, y = 187.8036, z = 695.0837, angle = 47.77213, collision = h0071B0
x = 275.9807, y = 188.0607, z = 694.3715, angle = 33.85585, collision = h0071B0
x = 277.1788, y = 188.2422, z = 693.9003, angle = -100.6054, collision = h0071B0
x = 278.6943, y = 188.2661, z = 694.3196, angle = -112.6582, collision = h0071B0
x = 279.7876, y = 188.2728, z = 694.9644, angle = -127.3517, collision = h0071B0
x = 278.8376, y = 187.9785, z = 695.4328, angle = 128.0756, collision = h0071B0
x = 279.633, y = 186.6508, z = 705.6123, angle = -144.5551, collision = h0072B0
x = 281.6407, y = 186.428, z = 707.6555, angle = -132.6754, collision = h0072B0
x = 282.6709, y = 186.4451, z = 708.5175, angle = -137.9566, collision = h0072B0
x = 283.6657, y = 186.3815, z = 709.6243, angle = -135.7528, collision = h0072B0
x = 284.6136, y = 186.2625, z = 710.5432, angle = -123.1325, collision = h0072B0
x = 285.8485, y = 186.3534, z = 711.3732, angle = -123.791, collision = h0072B0
x = 287.0324, y = 186.4977, z = 711.8915, angle = -65.9109, collision = h0072B0
x = 288.2935, y = 186.8062, z = 711.2362, angle = -87.24134, collision = h0072B0
x = 288.8335, y = 186.7406, z = 712.1862, angle = -166.4425, collision = h0072B0
x = 289.1646, y = 187.0255, z = 713.4325, angle = -144.8147, collision = h0072B0
x = 290.1987, y = 187.3788, z = 714.3564, angle = -66.36432, collision = h0072B0
x = 289.6085, y = 187.1164, z = 715.4309, angle = 160.28, collision = h0072B0
x = 289.232, y = 186.9445, z = 716.6719, angle = -161.953, collision = h0072B0
x = 289.5702, y = 186.9713, z = 717.6447, angle = -155.055, collision = h0072B0
x = 290.0848, y = 187.0722, z = 718.5999, angle = -141.3583, collision = h0072B0
x = 290.9406, y = 187.172, z = 719.6315, angle = -164.7652, collision = h0072B0
x = 291.2988, y = 187.147, z = 721.0742, angle = 169.7492, collision = h0072B0
x = 291.0103, y = 186.997, z = 722.3628, angle = 119.1608, collision = h0072B0
x = 290.0173, y = 186.8706, z = 721.8074, angle = -11.99209, collision = h0072B0
x = 290.2117, y = 186.9844, z = 720.6774, angle = 43.48142, collision = h0072B0
x = 289.3809, y = 187.5065, z = 719.6606, angle = 25.1422, collision = h0072B0
x = 288.8323, y = 187.3627, z = 718.7115, angle = 17.33835, collision = h0072B0
x = 288.1563, y = 186.7809, z = 717.1204, angle = 17.33835, collision = h0072B0
x = 287.1617, y = 186.2099, z = 716.6762, angle = 25.80814, collision = h0072B0
x = 286.3429, y = 186.1505, z = 715.4702, angle = 76.33921, collision = h0072B0
x = 285.0664, y = 186.1517, z = 715.1264, angle = 85.66412, collision = h0072B0
x = 284.2864, y = 185.9624, z = 715.8579, angle = -134.9693, collision = h0072B0
x = 285.3032, y = 186.276, z = 716.4169, angle = -119.4636, collision = h0072B0
x = 286.3688, y = 186.6002, z = 717.3732, angle = -133.0956, collision = h0072B0
x = 287.3081, y = 186.8848, z = 718.3024, angle = -131.8582, collision = h0072B0
x = 288.9778, y = 186.4705, z = 722.026, angle = 93.45788, collision = h0072B0
x = 287.8028, y = 185.7284, z = 722.4509, angle = 119.2022, collision = h0073B0
x = 286.6487, y = 185.1339, z = 723.0971, angle = 123.8627, collision = h0073B0
x = 285.7262, y = 184.7372, z = 723.6986, angle = 119.466, collision = h0073B0
x = 284.8178, y = 184.358, z = 724.2138, angle = 121.7181, collision = h0073B0
x = 283.9516, y = 184.0147, z = 724.7207, angle = 120.4302, collision = h0073B0
x = 283.0697, y = 183.673, z = 725.2515, angle = 119.9518, collision = h0073B0
x = 282.1691, y = 183.3177, z = 725.8282, angle = 124.2929, collision = h0073B0
x = 280.8626, y = 182.7991, z = 726.6823, angle = 120.4732, collision = h0073B0
x = 279.6611, y = 182.2877, z = 727.3933, angle = 122.5666, collision = h0073B0
x = 278.5139, y = 181.7773, z = 728.1224, angle = 123.2871, collision = h0073B0
x = 277.2332, y = 181.2049, z = 728.9496, angle = 121.282, collision = h0073B0
x = 276.1336, y = 180.7199, z = 729.6163, angle = 121.622, collision = h0073B0
x = 275.2102, y = 180.2545, z = 730.184, angle = 122.9353, collision = h0073B0
x = 274.0494, y = 179.6715, z = 730.9261, angle = 123.272, collision = h0073B0
x = 272.7909, y = 179.0372, z = 731.754, angle = 123.3334, collision = h0073B0
x = 271.7011, y = 178.4879, z = 732.4708, angle = 123.0147, collision = h0073B0
x = 270.7774, y = 178.023, z = 733.0721, angle = 122.7042, collision = h0073B0
x = 269.7108, y = 177.4871, z = 733.757, angle = 122.8676, collision = h0073B0
x = 268.7849, y = 177.0226, z = 734.3549, angle = 126.1637, collision = h0073B0
x = 267.763, y = 176.4933, z = 735.2112, angle = 133.3069, collision = h0073B0
x = 266.6573, y = 175.7768, z = 736.1987, angle = 104.0207, collision = h0073B0
x = 265.4039, y = 175.0986, z = 736.5641, angle = 82.8171, collision = h0073B0
x = 264.1201, y = 174.5213, z = 736.3823, angle = 70.94501, collision = h0073B0
x = 263.1683, y = 174.1498, z = 735.9938, angle = 66.26254, collision = h0073B0
x = 261.932, y = 173.7013, z = 735.355, angle = 52.47132, collision = h0073B0
x = 260.7931, y = 173.3198, z = 734.517, angle = 53.50886, collision = h0073B0
x = 262.8668, y = 174.2549, z = 734.8521, angle = -115.8197, collision = h0073B0
x = 259.6199, y = 172.7524, z = 734.3737, angle = 72.83737, collision = h0073B0
x = 258.6153, y = 172.3086, z = 734.0902, angle = 64.28887, collision = h0073B0
x = 257.506, y = 171.9062, z = 733.5568, angle = 64.21754, collision = h0073B0
x = 256.5299, y = 171.5584, z = 733.0855, angle = 63.79574, collision = h0073B0
x = 255.2285, y = 171.0965, z = 732.4432, angle = 64.82307, collision = h0073B0
x = 253.9925, y = 170.6546, z = 731.8795, angle = 66.34742, collision = h0073B0
x = 252.6138, y = 170.107, z = 731.3218, angle = 71.53382, collision = h0073B0
x = 251.3591, y = 169.6008, z = 730.9031, angle = 71.744, collision = h0073B0
x = 249.944, y = 169.0285, z = 730.4432, angle = 72.28357, collision = h0073B0
x = 248.6956, y = 168.527, z = 730.0073, angle = 67.0167, collision = h0073B0
x = 245.6998, y = 167.2618, z = 729.5181, angle = 61.94157, collision = h0073B0
x = 243.7352, y = 166.4234, z = 729.2755, angle = 56.96547, collision = h0073B0
x = 240.8738, y = 165.223, z = 728.914, angle = 39.06429, collision = h0073B0
x = 240.0226, y = 165.1287, z = 728.2617, angle = 39.06429, collision = h0073B0
x = 239.2267, y = 164.9466, z = 727.4785, angle = 86.2467, collision = h0073B0
x = 238.1437, y = 164.5308, z = 727.5434, angle = 65.26466, collision = h0073B0
x = 236.7326, y = 165.0879, z = 727.2814, angle = 31.96116, collision = h0073B0
x = 236.2177, y = 165.6139, z = 726.5813, angle = 34.00785, collision = h0073B0
x = 235.6063, y = 166.3422, z = 725.6873, angle = -146.8084, collision = h0073B0
x = 234.6875, y = 166.0412, z = 726.5952, angle = -136.4508, collision = h0073B0
x = 235.7251, y = 165.2044, z = 727.6787, angle = -121.7936, collision = h0073B0
x = 236.7137, y = 164.433, z = 728.3787, angle = -121.7936, collision = h0073B0
x = 236.3655, y = 164.1113, z = 729.4266, angle = 143.8211, collision = h0073B0
x = 235.6427, y = 163.7311, z = 730.5785, angle = 154.901, collision = h0073B0
x = 235.2395, y = 163.35, z = 731.9171, angle = -152.6698, collision = h0073B0
x = 235.7545, y = 162.9764, z = 733.0712, angle = 127.1809, collision = h0073B0
x = 234.6615, y = 163.2073, z = 733.8112, angle = 65.24847, collision = h0073B0
x = 233.3539, y = 163.2965, z = 733.4011, angle = 137.2046, collision = h0073B0
x = 232.3503, y = 163.2664, z = 734.2411, angle = 73.89137, collision = h0073B0
x = 231.0549, y = 163.5939, z = 733.7675, angle = 7.102099, collision = h0073B0
x = 230.9166, y = 163.8921, z = 732.3986, angle = -2.189991, collision = h0073B0
x = 231.0143, y = 164.2239, z = 730.9144, angle = 12.77054, collision = h0073B0
x = 230.5542, y = 164.3336, z = 729.7815, angle = 86.45958, collision = h0073B0
x = 229.2356, y = 164.298, z = 730.0052, angle = 169.6529, collision = h0073B0
x = 229.2456, y = 164.1231, z = 731.2232, angle = -104.0586, collision = h0073B0
x = 231.7457, y = 163.6419, z = 733.0417, angle = -62.77039, collision = h0073B0
x = 232.7002, y = 163.7039, z = 732.2368, angle = 35.61654, collision = h0073B0
x = 232.1256, y = 164.0652, z = 731.1888, angle = 87.42218, collision = h0073B0
x = 228.6335, y = 163.6904, z = 732.0825, angle = 117.2623, collision = h0073B0
x = 225.9191, y = 158.8071, z = 733.5082, angle = 123.5623, collision = h0073B0
x = 226.9974, y = 158.9526, z = 733.1045, angle = -54.2308, collision = h0073B0
x = 228.0571, y = 159.2445, z = 732.3221, angle = -50.0925, collision = h0073B0
x = 229.0653, y = 159.4795, z = 731.4385, angle = -27.39488, collision = h0073B0
x = 229.608, y = 159.5725, z = 730.5444, angle = -13.72887, collision = h0073B0
x = 229.9393, y = 159.8027, z = 729.2683, angle = -9.068606, collision = h0073B0
x = 230.0376, y = 160.0254, z = 728.2487, angle = -7.268387, collision = h0073B0
x = 230.7496, y = 160.2227, z = 727.3442, angle = -36.03982, collision = h0073B0
x = 231.2178, y = 160.3535, z = 726.2764, angle = -17.20161, collision = h0073B0
x = 231.5916, y = 160.5606, z = 725.2242, angle = -23.90208, collision = h0073B0
x = 231.56, y = 160.7711, z = 724.1591, angle = -33.90897, collision = h0073B0
x = 232.2696, y = 160.9338, z = 723.2796, angle = -43.06005, collision = h0073B0
x = 232.8482, y = 161.0314, z = 722.3748, angle = -33.88039, collision = h0073B0
x = 233.5299, y = 161.2064, z = 721.4127, angle = -40.20637, collision = h0073B0
x = 234.0914, y = 161.4934, z = 720.3544, angle = -30.34683, collision = h0073B0
x = 234.6225, y = 161.7996, z = 719.319, angle = -25.74449, collision = h0073B0
x = 235.0905, y = 162.0459, z = 718.3171, angle = -25.68651, collision = h0073B0
x = 235.6122, y = 162.301, z = 717.2761, angle = -26.68913, collision = h0073B0
x = 257.3287, y = 159.686, z = 681.1528, angle = -36.41854, collision = h0073B0
x = 257.9991, y = 159.7332, z = 680.3179, angle = -58.76955, collision = h0073B0
x = 259.2938, y = 159.706, z = 679.6127, angle = -71.15298, collision = h0073B0
x = 260.5455, y = 159.6464, z = 679.1851, angle = -70.72036, collision = h0073B0
x = 261.9408, y = 159.5851, z = 678.6692, angle = -68.62032, collision = h0073B0
x = 263.1731, y = 159.5323, z = 678.1885, angle = -53.43293, collision = h0073B0
x = 264.3854, y = 159.5327, z = 677.3276, angle = -53.5497, collision = h0073B0
x = 265.4439, y = 159.5389, z = 676.5345, angle = -49.22644, collision = h0073B0
x = 266.5797, y = 159.6904, z = 675.5939, angle = -56.8648, collision = h0073B0
x = 267.6689, y = 159.7818, z = 674.8489, angle = -61.57299, collision = h0073B0
x = 268.9667, y = 159.8662, z = 674.1215, angle = -56.66427, collision = h0073B0
x = 269.7984, y = 159.9437, z = 673.4996, angle = -43.31204, collision = h0073B0
x = 267.9421, y = 159.9505, z = 673.6928, angle = 115.2089, collision = h0073B0
x = 266.6082, y = 159.8835, z = 674.3094, angle = 115.978, collision = h0073B0
x = 265.4698, y = 159.816, z = 674.9039, angle = 124.496, collision = h0073B0
x = 264.5619, y = 159.7395, z = 675.5289, angle = 121.4871, collision = h0073B0
x = 263.527, y = 159.6597, z = 676.1918, angle = 110.8952, collision = h0073B0
x = 262.506, y = 159.6171, z = 676.606, angle = 111.2114, collision = h0073B0
x = 261.1868, y = 159.5657, z = 677.1166, angle = 114.7035, collision = h0073B0
x = 259.893, y = 159.4987, z = 677.7275, angle = 132.1329, collision = h0073B0
x = 259.0201, y = 159.3986, z = 678.5053, angle = 149.4973, collision = h0073B0
x = 256.5128, y = 159.6689, z = 681.859, angle = 132.6474, collision = h0073B0
x = 255.5607, y = 159.7149, z = 682.1794, angle = 50.57157, collision = h0073B0
x = 254.6736, y = 159.7339, z = 682.66, angle = 130.5805, collision = h0073B0
x = 221.6, y = 150.7071, z = 734.0324, angle = -154, collision = h0073B0
x = 221.308, y = 150.5981, z = 733.0419, angle = -1.607116, collision = h0073B0
x = 221.0963, y = 150.5247, z = 731.9608, angle = 42.31796, collision = h0073B0
x = 220.4016, y = 150.2429, z = 731.0563, angle = 7.111333, collision = h0073B0
x = 220.0307, y = 150.0997, z = 730.1053, angle = 49.58825, collision = h0073B0
x = 219.1478, y = 149.7345, z = 729.4127, angle = 53.22025, collision = h0073B0
x = 218.8232, y = 149.6115, z = 728.4333, angle = -64.07571, collision = h0073B0
x = 220.0112, y = 150.0565, z = 728.9028, angle = -88.44796, collision = h0073B0
x = 220.3795, y = 150.2086, z = 732.6665, angle = -154.2595, collision = h0073B0
x = 221.5509, y = 150.6694, z = 735.1199, angle = -154.1151, collision = h0073B0
x = 222.2021, y = 150.9259, z = 736.4579, angle = -153.4711, collision = h0073B0
x = 222.7937, y = 151.1595, z = 737.6409, angle = -147.3114, collision = h0073B0
x = 223.5295, y = 151.4547, z = 738.8092, angle = -145.5117, collision = h0073B0
x = 224.0306, y = 151.6524, z = 739.8181, angle = -163.2953, collision = h0073B0
x = 224.3951, y = 151.7912, z = 740.8774, angle = -146.8235, collision = h0073B0
x = 224.9788, y = 152.0257, z = 741.7808, angle = -146.5115, collision = h0073B0
x = 225.7982, y = 152.3554, z = 743.0228, angle = -146.3773, collision = h0073B0
x = 226.5023, y = 152.6378, z = 744.1419, angle = -149.3901, collision = h0073B0
x = 227.1607, y = 152.8975, z = 745.4708, angle = -161.1488, collision = h0073B0
x = 227.5893, y = 153.0607, z = 746.7221, angle = -161.1661, collision = h0073B0
x = 228.1469, y = 153.2767, z = 748.0981, angle = -152.8333, collision = h0073B0
x = 228.7428, y = 153.5167, z = 749.2789, angle = -153.3816, collision = h0073B0
x = 229.3909, y = 153.7661, z = 750.6176, angle = -160.1611, collision = h0073B0
x = 229.8485, y = 153.9397, z = 751.8585, angle = -157.1109, collision = h0073B0
x = 230.4371, y = 154.1674, z = 753.225, angle = -153.745, collision = h0073B0
x = 231.031, y = 154.401, z = 754.4068, angle = -151.3839, collision = h0073B0
x = 231.7536, y = 154.6879, z = 755.7074, angle = -149.2388, collision = h0073B0
x = 232.4388, y = 154.9619, z = 756.8387, angle = -146.1499, collision = h0073B0
x = 232.8496, y = 155.1129, z = 757.8739, angle = -163.728, collision = h0073B0
x = 233.9305, y = 155.6339, z = 757.3954, angle = -58.03638, collision = h0073B0
x = 234.7975, y = 156.2657, z = 756.7794, angle = -58.81844, collision = h0073B0
x = 235.504, y = 156.771, z = 756.3502, angle = -58.95177, collision = h0073B0
x = 236.385, y = 157.4005, z = 755.8189, angle = -51.18999, collision = h0073B0
x = 237.2074, y = 157.9843, z = 755.2351, angle = -59.957, collision = h0073B0
x = 238.3875, y = 158.6898, z = 754.5256, angle = -60.58478, collision = h0073B0
x = 239.2508, y = 159.2, z = 754.0367, angle = -61.17013, collision = h0073B0
x = 240.5229, y = 159.948, z = 753.3383, angle = -59.47337, collision = h0073B0
x = 241.6688, y = 160.6347, z = 752.645, angle = -55.46424, collision = h0073B0
x = 242.792, y = 161.3251, z = 751.8793, angle = -56.85129, collision = h0073B0
x = 243.638, y = 161.8402, z = 751.3268, angle = -56.82495, collision = h0073B0
x = 244.7912, y = 162.5261, z = 750.5728, angle = -56.76056, collision = h0073B0
x = 245.8976, y = 163.1556, z = 749.8478, angle = -56.6884, collision = h0073B0
x = 246.8188, y = 163.6801, z = 749.2425, angle = -56.62808, collision = h0073B0
x = 247.8788, y = 164.2833, z = 748.5475, angle = -56.56049, collision = h0073B0
x = 248.7841, y = 164.8012, z = 747.9516, angle = -56.50836, collision = h0073B0
x = 249.8267, y = 165.3996, z = 747.2634, angle = -56.43962, collision = h0073B0
x = 251.0845, y = 166.1212, z = 746.4344, angle = -56.37714, collision = h0073B0
x = 252.1722, y = 166.7461, z = 745.7146, angle = -56.31395, collision = h0073B0
x = 253.395, y = 167.4501, z = 744.8994, angle = -56.22182, collision = h0073B0
x = 254.4945, y = 168.0844, z = 744.1639, angle = -56.13751, collision = h0073B0
x = 255.73, y = 168.8237, z = 743.3346, angle = -56.03976, collision = h0073B0
x = 256.9802, y = 169.5721, z = 742.4943, angle = -55.95184, collision = h0073B0
x = 258.0457, y = 170.2107, z = 741.7742, angle = -55.86966, collision = h0073B0
x = 259.2469, y = 170.9483, z = 740.9598, angle = -55.77677, collision = h0073B0
x = 259.9914, y = 171.461, z = 740.4537, angle = -55.71841, collision = h0073B0
x = 260.736, y = 171.9736, z = 739.9479, angle = -55.66978, collision = h0073B0
x = 261.4954, y = 172.4935, z = 739.4312, angle = -55.39785, collision = h0073B0
x = 262.2681, y = 173.016, z = 738.9014, angle = -54.9419, collision = h0073B0
x = 263.0359, y = 173.538, z = 738.3644, angle = -54.39879, collision = h0073B0
x = 263.8288, y = 174.0724, z = 737.7993, angle = -47.27725, collision = h0073B0
x = 234.5563, y = 163.8202, z = 730.859, angle = 113.4958, collision = h0073B0
x = 230.1526, y = 164.1206, z = 731.7075, angle = 82.0355, collision = h0073B0
x = 227.7914, y = 163.1864, z = 732.5638, angle = 129.7222, collision = h0073B0
x = 225.2517, y = 158.4727, z = 734.2939, angle = 130.8443, collision = h0073B0
x = 224.3844, y = 158.2172, z = 735.0189, angle = 127.9448, collision = h0073B0
x = 223.4875, y = 157.9523, z = 735.7747, angle = 127.0207, collision = h0073B0
x = 222.5898, y = 157.6969, z = 736.4542, angle = 125.1567, collision = h0073B0
x = 221.6531, y = 157.4378, z = 737.105, angle = 124.4351, collision = h0073B0
x = 220.5684, y = 157.1384, z = 737.8533, angle = 124.4757, collision = h0073B0
x = 219.7354, y = 156.9089, z = 738.4252, angle = 124.5155, collision = h0073B0
x = 218.6456, y = 156.6084, z = 739.1748, angle = 124.581, collision = h0073B0
x = 217.8074, y = 156.3612, z = 739.7385, angle = 120.492, collision = h0073B0
x = 216.6672, y = 156.0116, z = 740.4091, angle = 120.086, collision = h0073B0
x = 215.3573, y = 155.612, z = 741.1654, angle = 123.4214, collision = h0073B0
x = 214.2114, y = 155.2477, z = 741.9277, angle = 126.014, collision = h0073B0
x = 213.3949, y = 154.9805, z = 742.5228, angle = 126.2935, collision = h0073B0
x = 212.303, y = 154.6257, z = 743.3012, angle = 124.4505, collision = h0073B0
x = 211.0714, y = 154.2303, z = 744.1471, angle = 124.7386, collision = h0073B0
x = 209.9846, y = 153.8802, z = 744.9011, angle = 124.9406, collision = h0073B0
x = 208.7544, y = 153.4864, z = 745.7375, angle = 120.0339, collision = h0073B0
x = 207.6095, y = 153.137, z = 746.3998, angle = 119.5323, collision = h0073B0
x = 206.3136, y = 152.7441, z = 747.1313, angle = 119.1704, collision = h0073B0
x = 205.1601, y = 152.3904, z = 747.7784, angle = 119.8239, collision = h0073B0
x = 203.8683, y = 151.9919, z = 748.517, angle = 119.2137, collision = h0073B0
x = 202.7135, y = 151.6379, z = 749.1619, angle = 118.7205, collision = h0073B0
x = 201.4268, y = 151.2393, z = 749.9088, angle = 123.4172, collision = h0073B0
x = 200.3225, y = 150.8844, z = 750.6367, angle = 124.204, collision = h0073B0
x = 199.0929, y = 150.485, z = 751.4748, angle = 124.863, collision = h0073B0
x = 198.0082, y = 150.1301, z = 752.2316, angle = 125.5094, collision = h0073B0
x = 196.7982, y = 149.731, z = 753.0977, angle = 126.2521, collision = h0073B0
x = 195.7321, y = 149.3764, z = 753.8806, angle = 127.3732, collision = h0073B0
x = 194.547, y = 148.9778, z = 754.7805, angle = 127.5912, collision = h0073B0
x = 193.4887, y = 148.6422, z = 755.5736, angle = 121.5342, collision = h0073B0
x = 192.2126, y = 148.2689, z = 756.3373, angle = 115.2126, collision = h0073B0
x = 191.0517, y = 147.9965, z = 756.9679, angle = 121.6389, collision = h0080B0
x = 189.7791, y = 147.7481, z = 757.7386, angle = 118.029, collision = h0080B0
x = 188.6328, y = 147.2332, z = 758.3973, angle = 119.1757, collision = h0073B0
x = 187.3169, y = 146.8621, z = 759.0855, angle = 81.56256, collision = h0073B0
