x = -323.8972, y = -235.5255, z = 131.3129, angle = -78.64848, collision = h0000B2
x = -321.9243, y = -383.9433, z = 99.64264, angle = -66.26019, collision = h0200B2
x = -322.5069, y = -383.8466, z = 102.3394, angle = 75.74811, collision = h0200B2
x = -323.5684, y = -383.8829, z = 101.7703, angle = 42.35949, collision = h0200B2
x = -323.9618, y = -383.9491, z = 100.7459, angle = -16.41788, collision = h0200B2
x = -323.8366, y = -384.24, z = 99.58384, angle = 27.23399, collision = h0200B2
x = -324.4704, y = -384.7134, z = 98.36011, angle = 43.02951, collision = h0200B2
x = -325.5049, y = -384.7903, z = 97.51965, angle = 111.3871, collision = h0200B2
x = -326.4029, y = -384.7283, z = 98.194, angle = -145.783, collision = h0200B2
x = -325.575, y = -384.4332, z = 99.19855, angle = -96.15353, collision = h0200B2
x = -326.409, y = -384.6017, z = 99.80864, angle = 74.36936, collision = h0200B2
x = -327.4763, y = -385.0177, z = 99.3756, angle = 59.66135, collision = h0200B2
x = -328.6155, y = -385.4551, z = 98.80641, angle = 78.95651, collision = h0209B2
x = -329.6651, y = -385.445, z = 98.57485, angle = 102.2552, collision = h0209B2
x = -330.4546, y = -385.596, z = 99.24748, angle = -119.5515, collision = h0209B2
x = -329.3254, y = -385.3678, z = 99.91547, angle = -104.3615, collision = h0209B2
x = -328.0515, y = -385.6685, z = 100.3828, angle = 163.9339, collision = h0209B2
x = -328.7988, y = -385.8116, z = 101.2796, angle = 94.19481, collision = h0209B2
x = -330.0435, y = -386.1768, z = 101.6635, angle = 141.4938, collision = h0209B2
x = -331.0955, y = -386.3773, z = 103.1575, angle = -107.8825, collision = h0209B2
x = -331.3032, y = -386.3073, z = 101.7317, angle = 125.5866, collision = h0209B2
x = -332.3921, y = -386.7068, z = 102.5569, angle = 177.8431, collision = h0209B2
x = -332.3608, y = -387.0568, z = 103.8332, angle = -141.0379, collision = h0209B2
x = -331.9374, y = -387.3583, z = 105.0275, angle = 100.3366, collision = h0209B2
x = -333.3466, y = -387.13, z = 105.0338, angle = 32.55132, collision = h0209B2
x = -334.095, y = -387.1438, z = 103.8782, angle = 92.33739, collision = h0209B2
x = -335.2296, y = -387.5466, z = 104.1055, angle = -177.2628, collision = h0209B2
x = -335.1311, y = -387.648, z = 105.4268, angle = -166.9253, collision = h0209B2
x = -335.0069, y = -387.9257, z = 106.7505, angle = 155.6899, collision = h0209B2
x = -335.4777, y = -388.0629, z = 107.7127, angle = 112.2846, collision = h0209B2
x = -336.7358, y = -388.3587, z = 108.219, angle = 110.5145, collision = h0209B2
x = -337.9672, y = -388.5213, z = 108.8005, angle = 127.9799, collision = h0209B2
x = -338.8922, y = -388.505, z = 109.7919, angle = -135.7326, collision = h0209B2
x = -338.0345, y = -388.458, z = 110.5149, angle = -57.67726, collision = h0209B2
x = -337.1542, y = -388.3604, z = 109.9435, angle = -33.06287, collision = h0209B2
x = -339.8868, y = -389.0004, z = 110.121, angle = 170.3553, collision = h0209B2
x = -340.0464, y = -389.3148, z = 111.6402, angle = 174.2398, collision = h0209B2
x = -340.3208, y = -389.8469, z = 112.9435, angle = 153.193, collision = h0209B2
x = -340.4229, y = -390.1833, z = 114.1171, angle = -100.1101, collision = h0209B2
x = -339.0975, y = -390.4981, z = 114.2685, angle = -12.35793, collision = h0002B2
x = -339.0786, y = -390.1857, z = 113.2209, angle = 110.7449, collision = h0209B2
x = -338.885, y = -390.552, z = 115.5638, angle = -113.4114, collision = h0002B2
x = -337.5883, y = -390.9087, z = 115.9927, angle = -92.28396, collision = h0002B2
x = -336.3221, y = -391.0886, z = 116.2972, angle = 168.4531, collision = h0002B2
x = -336.4969, y = -391.2719, z = 117.3081, angle = 178.1518, collision = h0002B2
x = -335.7631, y = -391.5316, z = 118.3098, angle = -93.35796, collision = h0002B2
x = -334.3657, y = -391.7212, z = 118.3113, angle = -129.0331, collision = h0002B2
x = -333.4385, y = -391.993, z = 119.1983, angle = -147.0674, collision = h0002B2
x = -332.5989, y = -392.2596, z = 120.2793, angle = -128.6538, collision = h0002B2
x = -331.8085, y = -392.7308, z = 120.9962, angle = -159.925, collision = h0202B2
x = -331.104, y = -392.6216, z = 122.1421, angle = -102.4115, collision = h0202B2
x = -329.8067, y = -392.666, z = 122.2474, angle = -90.06977, collision = h0202B2
x = -328.7076, y = -392.8297, z = 122.2421, angle = -90.01231, collision = h0202B2
x = -327.4769, y = -392.8342, z = 122.1939, angle = -85.86401, collision = h0202B2
x = -331.8792, y = -392.4353, z = 123.0406, angle = -81.80963, collision = h0202B2
x = -330.2572, y = -392.7049, z = 121.2509, angle = -18.02665, collision = h0202B2
x = -329.9101, y = -392.6644, z = 119.9213, angle = -0.05770144, collision = h0202B2
x = -329.903, y = -392.6425, z = 118.8487, angle = 0.8953695, collision = h0202B2
x = -328.8299, y = -392.7087, z = 119.7558, angle = -114.447, collision = h0202B2
x = -327.893, y = -392.7589, z = 120.1622, angle = -124.4025, collision = h0202B2
x = -326.7175, y = -392.835, z = 121.0994, angle = -139.2332, collision = h0202B2
x = -325.814, y = -392.9103, z = 122.1421, angle = -110.1296, collision = h0202B2
x = -324.6891, y = -392.9305, z = 122.4926, angle = -83.46025, collision = h0203B2
x = -324.2167, y = -392.9398, z = 121.3698, angle = 28.85627, collision = h0202B2
x = -325.2765, y = -392.7987, z = 120.1955, angle = 48.01615, collision = h0202B2
x = -326.0161, y = -392.7941, z = 119.4081, angle = 9.557894, collision = h0202B2
x = -326.1466, y = -392.7084, z = 118.048, angle = -43.04989, collision = h0202B2
x = -325.2961, y = -392.6982, z = 117.2521, angle = -86.38831, collision = h0202B2
x = -324.2498, y = -392.5793, z = 117.1311, angle = -30.21892, collision = h0202B2
x = -323.8248, y = -392.6772, z = 115.9774, angle = 19.88779, collision = h0202B2
x = -324.1863, y = -392.7143, z = 114.9659, angle = 18.02921, collision = h0202B2
x = -324.5627, y = -392.5661, z = 113.6409, angle = -45.12199, collision = h0202B2
x = -323.744, y = -392.554, z = 112.8506, angle = -76.27042, collision = h0202B2
x = -322.3163, y = -392.6736, z = 112.4228, angle = -60.12901, collision = h0202B2
x = -321.2344, y = -392.6832, z = 111.6142, angle = -46.41446, collision = h0202B2
x = -320.4801, y = -392.9263, z = 110.8507, angle = -35.91484, collision = h0202B2
x = -319.8556, y = -392.9499, z = 110.0671, angle = -42.14881, collision = h0202B2
x = -320.7403, y = -392.9247, z = 109.4268, angle = 46.40958, collision = h0202B2
x = -321.6777, y = -392.904, z = 108.4447, angle = 43.97008, collision = h0202B2
x = -322.6027, y = -392.7777, z = 107.4203, angle = 30.14585, collision = h0202B2
x = -323.3049, y = -392.8022, z = 106.2314, angle = 33.17644, collision = h0202B2
x = -324.1292, y = -392.9484, z = 105.1305, angle = 50.28759, collision = h0202B2
x = -324.9537, y = -392.9666, z = 104.4425, angle = 98.82796, collision = h0202B2
x = -325.8881, y = -392.8539, z = 103.611, angle = 55.88263, collision = h0202B2
x = -327.2009, y = -392.9229, z = 103.0017, angle = 84.57563, collision = h0202B2
x = -328.2893, y = -392.9924, z = 102.5696, angle = 167.5467, collision = h0202B2
x = -328.8746, y = -392.8772, z = 103.4043, angle = -98.5113, collision = h0202B2
x = -327.9372, y = -392.8045, z = 103.9305, angle = -36.10944, collision = h0202B2
x = -323.2886, y = -393.0324, z = 104.1372, angle = -49.63998, collision = h0202B2
x = -322.6482, y = -392.9829, z = 103.2848, angle = 77.43085, collision = h0202B2
x = -325.8869, y = -392.8979, z = 102.3504, angle = 99.48883, collision = h0202B2
x = -329.8557, y = -392.5878, z = 102.5495, angle = 139.378, collision = h0203B2
x = -330.3448, y = -392.8594, z = 103.94, angle = -132.6597, collision = h0202B2
x = -329.4122, y = -392.5687, z = 104.9472, angle = 161.9901, collision = h0202B2
x = -330.1897, y = -392.6779, z = 105.8611, angle = 65.6786, collision = h0202B2
x = -331.4627, y = -392.7688, z = 105.3358, angle = 70.18293, collision = h0202B2
x = -332.7798, y = -392.82, z = 105.089, angle = 131.4749, collision = h0202B2
x = -333.6641, y = -392.9258, z = 106.0381, angle = 171.7774, collision = h0202B2
x = -333.8855, y = -392.726, z = 107.4017, angle = 171.6403, collision = h0202B2
x = -334.0602, y = -392.5327, z = 108.4613, angle = 156.0824, collision = h0202B2
x = -334.8713, y = -392.5576, z = 109.4373, angle = 107.3991, collision = h0202B2
x = -336.1038, y = -392.5561, z = 110.0028, angle = 169.1952, collision = h0202B2
x = -336.4537, y = -392.5853, z = 111.3326, angle = 134.2039, collision = h0202B2
x = -337.4875, y = -392.6471, z = 112.1756, angle = 80.7456, collision = h0202B2
x = -338.5455, y = -392.7023, z = 112.032, angle = 111.7597, collision = h0202B2
x = -339.4429, y = -392.802, z = 112.5724, angle = 135.6263, collision = h0202B2
x = -338.2566, y = -392.6785, z = 110.9903, angle = 51.5182, collision = h0202B2
x = -336.5852, y = -392.6039, z = 112.7711, angle = -92.10962, collision = h0202B2
x = -335.5235, y = -392.5475, z = 112.7869, angle = -64.79327, collision = h0202B2
x = -334.3464, y = -392.6408, z = 112.0963, angle = -49.58164, collision = h0202B2
x = -333.3141, y = -392.7784, z = 111.1825, angle = -49.17699, collision = h0202B2
x = -332.2206, y = -392.347, z = 110.8921, angle = -171.5359, collision = h0202B2
x = -332.7166, y = -392.5944, z = 112.2242, angle = 171.5129, collision = h0202B2
x = -333.4292, y = -392.5668, z = 113.1636, angle = -158.8358, collision = h0202B2
x = -333.1346, y = -392.2877, z = 114.2594, angle = -106.4784, collision = h0202B2
x = -331.8945, y = -392.2684, z = 114.4834, angle = -54.29286, collision = h0202B2
x = -330.658, y = -392.1214, z = 113.9123, angle = -121.2023, collision = h0202B2
x = -329.6864, y = -392.2947, z = 114.8249, angle = -175.4572, collision = h0202B2
x = -329.533, y = -392.5067, z = 116.1953, angle = -143.3225, collision = h0202B2
x = -328.7531, y = -392.5696, z = 117.3099, angle = -124.2998, collision = h0202B2
x = -327.558, y = -392.6459, z = 117.9127, angle = -58.21402, collision = h0202B2
x = -325.731, y = -392.6238, z = 116.3513, angle = -39.81813, collision = h0202B2
x = -319.2101, y = -392.9693, z = 109.2687, angle = -48.90125, collision = h0202B2
x = -318.1987, y = -392.746, z = 108.1321, angle = -33.03259, collision = h0202B2
x = -318.1645, y = -393.0468, z = 109.1891, angle = -147.57, collision = h0202B2
x = -317.7668, y = -393.0655, z = 110.2485, angle = -107.2038, collision = h0202B2
x = -321.7737, y = -392.7331, z = 109.7609, angle = 89.55374, collision = h0202B2
x = -322.9795, y = -392.5018, z = 109.1471, angle = 8.287833, collision = h0202B2
x = -326.9774, y = -392.7599, z = 104.2559, angle = -72.14234, collision = h0202B2
x = -324.9022, y = -392.9714, z = 102.7591, angle = -176.8638, collision = h0202B2
x = -325.0872, y = -392.7891, z = 105.6189, angle = 110.5538, collision = h0202B2
x = -326.0963, y = -392.4405, z = 106.2566, angle = -126.1745, collision = h0202B2
x = -324.4847, y = -392.3576, z = 107.1328, angle = -118.8945, collision = h0202B2
x = -323.3694, y = -392.6685, z = 113.9423, angle = 172.692, collision = h0202B2
x = -323.0562, y = -392.3206, z = 116.8379, angle = -133.1606, collision = h0202B2
x = -322.0717, y = -392.2739, z = 117.6743, angle = -107.1755, collision = h0202B2
x = -321.0239, y = -392.2014, z = 117.5895, angle = -54.98733, collision = h0202B2
x = -321.0546, y = -392.2895, z = 116.405, angle = 21.8392, collision = h0202B2
x = -322.0712, y = -392.3745, z = 116.0068, angle = 92.91801, collision = h0202B2
x = -326.6332, y = -392.6261, z = 116.9773, angle = 90.42323, collision = h0202B2
x = -330.4294, y = -392.5609, z = 116.8913, angle = 66.68414, collision = h0202B2
x = -331.4156, y = -392.5781, z = 116.4671, angle = 54.36304, collision = h0202B2
x = -332.5476, y = -392.5138, z = 115.668, angle = 54.41293, collision = h0202B2
x = -334.3789, y = -392.5087, z = 114.2641, angle = 46.10603, collision = h0202B2
