x = -19.71554, y = 48.91821, z = 954.4495, angle = 20, collision = h0100B0_0000
x = -41.42331, y = 63.06645, z = 890.8958, angle = -95.45299, collision = h0017B0
x = -39.92947, y = 63.0716, z = 891.1243, angle = -114.9122, collision = h0017B0
x = -38.77791, y = 63.07259, z = 891.7646, angle = -125.3403, collision = h0017B0
x = -37.68495, y = 63.07261, z = 892.7203, angle = 169.2999, collision = h0017B0
x = -37.91064, y = 63.12442, z = 893.7578, angle = 105.3456, collision = h0017B0
x = -39.40039, y = 63.07497, z = 894.074, angle = 77.45085, collision = h0017B0
x = -40.74716, y = 63.06859, z = 893.7889, angle = 70.33715, collision = h0017B0
x = -42.09822, y = 63.20307, z = 893.2901, angle = 55.42102, collision = h0017B0
x = -43.3215, y = 63.12336, z = 892.7421, angle = 139.8041, collision = h0017B0
x = -44.02055, y = 63.18434, z = 893.9146, angle = -149.9334, collision = h0017B0
x = -43.13003, y = 63.21796, z = 894.9296, angle = -82.51853, collision = h0017B0
x = -41.71763, y = 63.06501, z = 894.7465, angle = -76.99834, collision = h0017B0
x = -38.86403, y = 63.09383, z = 895.2017, angle = -154.203, collision = h0017B0
x = -38.21244, y = 63.13363, z = 896.4566, angle = -150.3255, collision = h0017B0
x = -38.00064, y = 63.07265, z = 900.331, angle = 157.9488, collision = h0017B0
x = -39.08396, y = 63.07262, z = 900.7252, angle = 26.6202, collision = h0017B0
x = -39.01743, y = 63.07261, z = 899.4825, angle = -5.548067, collision = h0017B0
x = -41.38104, y = 63.06626, z = 896.5237, angle = 121.7612, collision = h0017B0
x = -42.34101, y = 63.06272, z = 897.2592, angle = -157.1296, collision = h0017B0
x = -35.38223, y = 66.67236, z = 902.1182, angle = -87.81682, collision = h0117B0
x = -35.67467, y = 66.72112, z = 882.7706, angle = 2.483047, collision = h0017B0
x = -33.67877, y = 66.66807, z = 878.54, angle = -93.50346, collision = h0033B0
x = -32.64309, y = 66.66813, z = 878.6086, angle = -93.89092, collision = h0033B0
x = -31.27709, y = 66.66821, z = 878.6933, angle = -86.05374, collision = h0033B0
x = -29.9025, y = 66.73981, z = 878.6022, angle = -84.33956, collision = h0033B0
x = -28.35822, y = 66.66838, z = 878.4445, angle = -82.62133, collision = h0033B0
x = -27.06961, y = 66.75859, z = 878.3273, angle = -89.21738, collision = h0033B0
x = -25.95827, y = 66.95658, z = 878.3162, angle = -92.63876, collision = h0033B0
x = -24.95821, y = 67.13475, z = 878.3643, angle = -92.56327, collision = h0033B0
x = -23.52639, y = 67.38983, z = 878.42, angle = -92.45814, collision = h0033B0
x = -22.25126, y = 67.617, z = 878.4816, angle = -93.32333, collision = h0033B0
x = -20.76769, y = 67.88132, z = 878.5239, angle = -89.57935, collision = h0033B0
x = -19.45423, y = 68.11533, z = 878.5219, angle = -90.21617, collision = h0033B0
x = -17.99003, y = 68.46191, z = 878.5168, angle = -88.08212, collision = h0033B0
x = -16.81186, y = 68.53107, z = 878.4711, angle = -87.49505, collision = h0033B0
x = -15.72771, y = 68.63272, z = 878.4232, angle = -90.43837, collision = h0033B0
x = -14.72748, y = 68.68626, z = 878.4348, angle = -88.39137, collision = h0033B0
x = -13.57841, y = 68.56802, z = 878.3296, angle = -78.13744, collision = h0033B0
x = -12.4591, y = 68.53101, z = 878.1863, angle = -82.12524, collision = h0033B0
x = -10.35079, y = 63.25505, z = 878.7756, angle = -92.04726, collision = h0012B0
x = -11.10026, y = 63.18644, z = 877.7552, angle = -4.421892, collision = h0012B0
x = -10.76978, y = 63.18714, z = 876.4141, angle = -61.74289, collision = h0012B0
x = -9.483504, y = 63.19243, z = 875.9241, angle = -106.4048, collision = h0012B0
x = -8.308853, y = 63.18995, z = 876.2464, angle = -110.7514, collision = h0012B0
x = -7.049572, y = 63.18607, z = 875.6792, angle = -69.74364, collision = h0012B0
x = -5.701986, y = 63.18606, z = 875.1931, angle = -62.90678, collision = h0012B0
x = -4.622699, y = 63.18607, z = 874.6526, angle = -55.94786, collision = h0012B0
x = -4.052258, y = 63.18607, z = 875.7009, angle = -167.5445, collision = h0012B0
x = -8.358978, y = 63.18808, z = 877.3632, angle = 127.9807, collision = h0012B0
x = -9.421287, y = 63.18803, z = 878.2382, angle = 124.4031, collision = h0012B0
x = -11.22033, y = 63.18608, z = 879.7713, angle = 48.91622, collision = h0012B0
x = -11.73114, y = 63.18607, z = 878.5331, angle = -7.876765, collision = h0012B0
x = -11.54753, y = 63.18607, z = 875.2683, angle = -51.57172, collision = h0012B0
x = -10.4874, y = 63.1898, z = 874.7765, angle = -159.3871, collision = h0012B0
x = -3.548114, y = 63.18607, z = 876.6624, angle = -152.8717, collision = h0012B0
x = -4.195482, y = 58.37444, z = 877.8641, angle = -150.8768, collision = h0012B0
x = -4.747754, y = 58.26342, z = 878.8004, angle = 143.8491, collision = h0012B0
x = -5.631857, y = 58.38484, z = 879.9617, angle = 129.2366, collision = h0012B0
x = -6.848664, y = 58.39983, z = 880.4772, angle = 69.32407, collision = h0012B0
x = -8.202403, y = 58.40815, z = 880.0098, angle = 82.88089, collision = h0012B0
x = -9.616487, y = 58.49353, z = 879.8902, angle = 114.7164, collision = h0012B0
x = -10.94641, y = 58.39881, z = 880.3674, angle = 22.30443, collision = h0012B0
x = -11.28992, y = 58.21946, z = 879.3047, angle = -50.47507, collision = h0012B0
x = -10.16356, y = 58.18306, z = 878.4769, angle = -93.86013, collision = h0012B0
x = -8.794826, y = 58.31633, z = 878.716, angle = -119.4052, collision = h0012B0
x = -6.643487, y = 58.31171, z = 879.4858, angle = -78.74416, collision = h0012B0
x = -4.959734, y = 58.18306, z = 877.0779, angle = 89.17088, collision = h0012B0
x = -6.388375, y = 58.18306, z = 877.017, angle = 86.0396, collision = h0012B0
x = -7.819212, y = 58.18306, z = 876.9738, angle = 97.28884, collision = h0012B0
x = -9.213622, y = 58.18306, z = 877.2501, angle = 128.5075, collision = h0012B0
x = -11.10252, y = 58.18306, z = 877.7031, angle = 24.53953, collision = h0012B0
x = -11.57237, y = 58.18306, z = 876.3641, angle = -6.749456, collision = h0012B0
x = -10.41389, y = 58.18306, z = 876.2893, angle = -105.0594, collision = h0012B0
x = -8.827622, y = 58.18306, z = 876.0977, angle = -42.82712, collision = h0012B0
x = -7.967011, y = 58.18307, z = 875.1672, angle = -43.24859, collision = h0012B0
x = -6.807333, y = 58.18307, z = 874.7216, angle = -130.6035, collision = h0012B0
x = -5.940923, y = 58.18307, z = 875.3683, angle = -130.3905, collision = h0012B0
x = -5.149345, y = 58.18306, z = 876.0355, angle = -130.3905, collision = h0012B0
x = -4.102378, y = 58.18306, z = 875.3453, angle = -143.488, collision = h0012B0
x = -2.857658, y = 58.18306, z = 875.7765, angle = -115.7907, collision = h0012B0
x = -1.568802, y = 58.18245, z = 876.0563, angle = -75.18607, collision = h0012B0
x = -0.1810255, y = 58.18319, z = 875.7002, angle = -78.7429, collision = h0012B0
x = 1.23294, y = 58.18498, z = 875.4766, angle = -112.4589, collision = h0012B0
x = 2.050148, y = 58.18497, z = 876.3221, angle = 148.5773, collision = h0012B0
x = 1.293402, y = 58.18346, z = 877.2911, angle = 131.3898, collision = h0012B0
x = 0.4437106, y = 58.18369, z = 878.4536, angle = -131.1925, collision = h0012B0
x = 1.665799, y = 58.18375, z = 878.851, angle = -130.6644, collision = h0012B0
x = 3.158612, y = 58.18496, z = 875.8445, angle = -138.2237, collision = h0012B0
x = 3.819499, y = 58.18495, z = 876.8873, angle = -157.0083, collision = h0012B0
x = 4.18394, y = 58.18494, z = 878.2225, angle = -154.1392, collision = h0012B0
x = 4.65548, y = 58.18494, z = 879.1808, angle = -151.7667, collision = h0012B0
x = 5.609561, y = 58.18493, z = 879.9215, angle = 173.0632, collision = h0012B0
x = 4.990812, y = 58.18433, z = 881.0605, angle = 137.1498, collision = h0012B0
x = 4.001186, y = 58.18452, z = 881.3857, angle = 108.4419, collision = h0012B0
x = 2.704056, y = 58.1846, z = 881.3857, angle = -13.74816, collision = h0012B0
x = 6.073158, y = 58.18492, z = 878.8633, angle = 13.79568, collision = h0012B0
x = 5.846869, y = 58.18493, z = 877.452, angle = -11.74881, collision = h0012B0
x = 6.133224, y = 58.18492, z = 876.0519, angle = -7.180756, collision = h0012B0
x = 6.471311, y = 58.18492, z = 874.8702, angle = -110.2246, collision = h0012B0
x = 7.543439, y = 58.18491, z = 875.5504, angle = -170.8677, collision = h0012B0
x = 7.813943, y = 58.79322, z = 876.9528, angle = -146.403, collision = h0012B0
x = 8.352111, y = 59.54051, z = 878.0909, angle = 168.6478, collision = h0012B0
x = 8.178887, y = 60.13902, z = 879.0026, angle = 160.7975, collision = h0012B0
x = 7.917981, y = 60.71813, z = 879.8848, angle = -167.0286, collision = h0012B0
x = 8.186514, y = 61.17686, z = 881.2872, angle = 166.3311, collision = h0012B0
x = 6.641777, y = 61.65854, z = 881.9599, angle = 154.2751, collision = h0012B0
x = 6.067306, y = 62.02594, z = 882.8779, angle = 160.2136, collision = h0012B0
x = 4.944015, y = 62.74456, z = 882.875, angle = 100.4713, collision = h0012B0
x = 4.053124, y = 63.31451, z = 882.8738, angle = 113.0166, collision = h0012B0
x = 3.226389, y = 63.84357, z = 882.8727, angle = 114.2781, collision = h0012B0
x = 2.397755, y = 64.36569, z = 882.852, angle = 71.02317, collision = h0012B0
x = 1.185402, y = 64.37811, z = 882.3981, angle = 94.22585, collision = h0012B0
x = -0.03071083, y = 64.37811, z = 882.3741, angle = 85.9025, collision = h0012B0
x = 0.1600552, y = 64.3432, z = 881.2847, angle = -13.67739, collision = h0012B0
x = 0.465123, y = 64.35957, z = 880.2515, angle = -22.30596, collision = h0012B0
x = 0.6283091, y = 64.37647, z = 879.1846, angle = -1.577842, collision = h0012B0
x = 0.5371668, y = 64.39262, z = 878.1655, angle = -3.376531, collision = h0012B0
x = 0.1451623, y = 64.4112, z = 876.9923, angle = -8.007099, collision = h0012B0
x = 0.7541374, y = 64.42439, z = 876.1597, angle = -88.33616, collision = h0012B0
x = 1.982449, y = 64.41362, z = 875.6923, angle = -14.22246, collision = h0012B0
x = 2.966666, y = 64.39316, z = 874.8698, angle = -86.34715, collision = h0012B0
x = 4.385983, y = 64.39316, z = 874.9618, angle = -104.9497, collision = h0012B0
x = 5.342959, y = 64.36804, z = 875.367, angle = -100.8871, collision = h0012B0
x = 6.460727, y = 64.39317, z = 875.7346, angle = -87.61176, collision = h0012B0
x = 7.788086, y = 64.39317, z = 876.0032, angle = -144.5695, collision = h0012B0
x = 8.352172, y = 64.39317, z = 876.9977, angle = -150.9478, collision = h0012B0
x = 4.504323, y = 64.39317, z = 875.9758, angle = -130.4879, collision = h0012B0
x = 5.732732, y = 64.36804, z = 876.719, angle = -102.2628, collision = h0012B0
x = 7.129183, y = 64.39317, z = 876.959, angle = -118.2191, collision = h0012B0
x = 8.352174, y = 64.42705, z = 880.4257, angle = -162.1706, collision = h0012B0
x = 8.352174, y = 64.42705, z = 881.7795, angle = -162.1706, collision = h0012B0
x = 7.984411, y = 64.42704, z = 882.7546, angle = 94.7134, collision = h0012B0
x = 7.174681, y = 64.42703, z = 882.0576, angle = -33.77615, collision = h0012B0
x = 5.069654, y = 58.18493, z = 876.1672, angle = 83.18372, collision = h0012B0
x = 0.6068236, y = 58.18333, z = 876.5204, angle = -78.24104, collision = h0012B0
x = 3.67429, y = 58.18495, z = 874.87, angle = -42.66713, collision = h0012B0
x = 4.706284, y = 58.18494, z = 874.87, angle = -111.1097, collision = h0012B0
x = 4.45879, y = 65.99805, z = 871.9548, angle = 16.46671, collision = h0046B0
x = 5.283072, y = 65.7419, z = 872.6061, angle = -119.0576, collision = h0046B0
x = 6.317285, y = 65.74194, z = 873.1734, angle = -106.9866, collision = h0046B0
x = 6.186048, y = 65.74187, z = 872.1605, angle = 34.83923, collision = h0046B0
x = 3.33057, y = 65.74191, z = 872.1914, angle = 123.7446, collision = h0046B0
x = 2.476701, y = 65.74197, z = 872.8185, angle = 39.46613, collision = h0046B0
x = 1.538233, y = 65.74188, z = 871.9398, angle = 58.06673, collision = h0046B0
x = 0.3942852, y = 65.74182, z = 871.2452, angle = 96.356, collision = h0046B0
x = -1.026581, y = 65.74184, z = 871.3809, angle = 102.0639, collision = h0046B0
x = -2.338541, y = 65.74187, z = 871.6586, angle = 74.75298, collision = h0046B0
x = -3.669381, y = 65.74191, z = 871.3729, angle = 92.34458, collision = h0046B0
x = -5.156862, y = 65.74199, z = 871.379, angle = 97.9434, collision = h0046B0
x = -6.148854, y = 65.74207, z = 871.5143, angle = 99.35601, collision = h0046B0
x = -7.405659, y = 65.74223, z = 871.7594, angle = -167.4263, collision = h0046B0
x = -6.986673, y = 65.74232, z = 872.8334, angle = -85.94236, collision = h0046B0
x = -5.622106, y = 65.74217, z = 872.6498, angle = -74.73656, collision = h0046B0
x = -4.292492, y = 65.74203, z = 872.2659, angle = -139.5114, collision = h0046B0
x = -3.648313, y = 65.7421, z = 873.3163, angle = -116.5076, collision = h0046B0
x = -2.62119, y = 65.74203, z = 873.4075, angle = -66.6569, collision = h0046B0
x = -1.280161, y = 65.74197, z = 872.9265, angle = -114.2468, collision = h0046B0
x = -0.08705674, y = 65.742, z = 873.3555, angle = -86.8509, collision = h0046B0
x = 1.341677, y = 65.742, z = 873.3241, angle = -86.48679, collision = h0046B0
x = 7.230842, y = 65.74188, z = 872.2585, angle = -84.74995, collision = h0046B0
x = 9.730749, y = 64.85349, z = 877.0762, angle = 174.9586, collision = h0046B0
x = 5.68628, y = 76.03337, z = 878.2038, angle = 25.50557, collision = h0010B0
x = -13.36212, y = 73.18488, z = 859.6699, angle = 141.5333, collision = h0014B0
x = -14.3653, y = 73.18778, z = 859.2086, angle = 125.2597, collision = h0049B0
x = -14.74366, y = 72.68515, z = 860.2044, angle = 162.5464, collision = h0049B0
x = -15.14156, y = 72.11082, z = 861.2678, angle = 157.1836, collision = h0049B0
x = -15.62587, y = 71.52511, z = 862.322, angle = 151.706, collision = h0049B0
x = -14.65578, y = 73.72042, z = 858.1375, angle = 14.89442, collision = h0049B0
x = -14.97168, y = 74.29388, z = 857.0404, angle = 24.98293, collision = h0049B0
x = -15.47629, y = 74.84265, z = 856.2411, angle = 37.77351, collision = h0049B0
x = -16.16657, y = 74.89025, z = 855.3457, angle = 39.18167, collision = h0049B0
x = -16.99513, y = 75.07311, z = 854.5921, angle = 55.24247, collision = h0049B0
x = -17.7219, y = 75.62553, z = 853.9361, angle = 42.20216, collision = h0049B0
x = -18.38517, y = 76.15501, z = 853.2267, angle = 49.03908, collision = h0049B0
x = -19.36515, y = 76.79123, z = 852.5909, angle = 65.71484, collision = h0049B0
x = -20.23591, y = 77.32237, z = 852.1981, angle = 65.74798, collision = h0049B0
x = -21.24876, y = 77.95107, z = 851.7405, angle = 65.44872, collision = h0049B0
x = -22.23757, y = 78.26587, z = 851.2786, angle = 72.92499, collision = h0049B0
x = -23.27474, y = 78.31367, z = 850.899, angle = 72.92499, collision = h0049B0
x = -20.78741, y = 77.83556, z = 850.7883, angle = -83.55511, collision = h0049B0
x = -19.78349, y = 77.61164, z = 850.8499, angle = -114.2772, collision = h0049B0
x = -18.48497, y = 77.61165, z = 851.446, angle = -108.7478, collision = h0049B0
x = -17.14588, y = 77.61164, z = 851.9521, angle = -116.82, collision = h0049B0
x = -16.2942, y = 77.61164, z = 852.6901, angle = -146.1816, collision = h0049B0
x = -15.60062, y = 77.61164, z = 853.5992, angle = -140.6139, collision = h0049B0
x = -15.10498, y = 77.61165, z = 854.5637, angle = -160.6583, collision = h0049B0
x = -14.64381, y = 77.61165, z = 855.7676, angle = -155.2202, collision = h0049B0
x = -14.08309, y = 77.61165, z = 857.006, angle = -161.4913, collision = h0049B0
x = -13.60401, y = 77.61165, z = 858.3556, angle = -167.8446, collision = h0049B0
x = -13.34908, y = 77.61165, z = 859.5539, angle = 178.7415, collision = h0049B0
x = -13.63294, y = 77.61165, z = 860.6587, angle = 179.8463, collision = h0049B0
x = -14.02723, y = 77.61165, z = 862.129, angle = 171.8188, collision = h0049B0
x = -14.44741, y = 77.61165, z = 863.413, angle = 147.508, collision = h0049B0
x = -15.05702, y = 77.61164, z = 864.4894, angle = 146.8503, collision = h0049B0
x = -16.00333, y = 77.61163, z = 865.4225, angle = 148.3341, collision = h0049B0
x = -17.09827, y = 77.61165, z = 866.5179, angle = 144.4453, collision = h0049B0
x = -18.00419, y = 77.61166, z = 867.4297, angle = 122.3768, collision = h0049B0
x = -19.16755, y = 77.61166, z = 867.6882, angle = 118.8701, collision = h0049B0
x = -20.3044, y = 77.61165, z = 868.0298, angle = 118.1693, collision = h0049B0
x = -21.30993, y = 77.61165, z = 868.2985, angle = 101.8305, collision = h0049B0
x = -22.76376, y = 77.61165, z = 868.4602, angle = 84.27304, collision = h0049B0
x = -24.17057, y = 77.61166, z = 868.2738, angle = 84.01624, collision = h0049B0
x = -25.39444, y = 77.61166, z = 867.9477, angle = 64.93243, collision = h0049B0
x = -26.66643, y = 77.61165, z = 867.3035, angle = 62.29451, collision = h0049B0
x = -27.93276, y = 77.61165, z = 866.6393, angle = 63.53192, collision = h0049B0
x = -28.83917, y = 77.61165, z = 865.8759, angle = 45.07668, collision = h0049B0
x = -29.7006, y = 77.61165, z = 864.9943, angle = 33.67853, collision = h0049B0
x = -30.51248, y = 77.61166, z = 863.8181, angle = 28.68729, collision = h0049B0
x = -31.17024, y = 77.61165, z = 862.5487, angle = 28.48351, collision = h0049B0
x = -31.64131, y = 77.61166, z = 861.2027, angle = 18.88181, collision = h0049B0
x = -31.93112, y = 77.61165, z = 859.9427, angle = 9.863216, collision = h0049B0
x = -32.1207, y = 77.61164, z = 858.9562, angle = -5.708686, collision = h0049B0
x = -31.78963, y = 77.61166, z = 857.8859, angle = -10.63822, collision = h0049B0
x = -31.46513, y = 77.61166, z = 856.5411, angle = -10.92875, collision = h0049B0
x = -31.20529, y = 77.61163, z = 855.5705, angle = -15.08632, collision = h0049B0
x = -30.70831, y = 77.61166, z = 854.2802, angle = -36.67709, collision = h0049B0
x = -29.72589, y = 77.61166, z = 853.4068, angle = -43.80122, collision = h0049B0
x = -28.82702, y = 77.61166, z = 852.5007, angle = -43.86614, collision = h0049B0
x = -27.8264, y = 77.61165, z = 851.4752, angle = -52.45204, collision = h0049B0
x = -26.75885, y = 77.61165, z = 850.8183, angle = -61.89953, collision = h0049B0
x = -25.48576, y = 77.61165, z = 850.4781, angle = -64.33067, collision = h0049B0
x = -24.11383, y = 77.61166, z = 850.1279, angle = -89.69408, collision = h0049B0
x = -22.8493, y = 77.61166, z = 850.096, angle = -90.94554, collision = h0049B0
x = -23.91607, y = 78.46975, z = 851.7687, angle = 106.639, collision = h0049B0
x = -25.1486, y = 79.17744, z = 852.1376, angle = 106.954, collision = h0049B0
x = -26.06316, y = 79.68352, z = 852.4135, angle = 112.359, collision = h0049B0
x = -26.95118, y = 80.18844, z = 852.764, angle = 114.1206, collision = h0049B0
x = -27.81175, y = 80.691, z = 853.1761, angle = 129.688, collision = h0049B0
x = -28.64504, y = 81.3121, z = 853.9548, angle = 151.0226, collision = h0049B0
x = -29.13705, y = 81.66122, z = 854.8907, angle = 174.1928, collision = h0049B0
x = -29.13971, y = 81.71135, z = 856.0687, angle = 150.2975, collision = h0049B0
x = -29.69352, y = 82.1629, z = 857.0837, angle = 161.0275, collision = h0049B0
x = -29.89819, y = 82.67276, z = 857.9787, angle = 172.0909, collision = h0049B0
x = -30.03806, y = 83.21082, z = 858.9256, angle = -178.6568, collision = h0049B0
x = -29.89809, y = 83.76415, z = 859.904, angle = -165.3683, collision = h0049B0
x = -29.68041, y = 84.26962, z = 860.7784, angle = -166.0883, collision = h0049B0
x = -29.38729, y = 85.03419, z = 861.9085, angle = -165.136, collision = h0049B0
x = -28.73245, y = 85.08524, z = 862.7103, angle = -149.4474, collision = h0049B0
x = -28.2189, y = 85.39654, z = 863.6844, angle = -141.0057, collision = h0047B0
x = -27.55498, y = 85.98648, z = 864.3907, angle = -127.8626, collision = h0047B0
x = -26.85983, y = 86.57085, z = 865.0789, angle = -135.7573, collision = h0047B0
x = -25.99919, y = 87.127, z = 865.7412, angle = -118.5467, collision = h0047B0
x = -25.11259, y = 87.66671, z = 866.1332, angle = -94.4506, collision = h0047B0
x = -24.14149, y = 88.20105, z = 866.2261, angle = -96.23801, collision = h0047B0
x = -23.00582, y = 88.47232, z = 866.4046, angle = -97.53804, collision = h0047B0
x = -21.88291, y = 88.625, z = 866.3997, angle = -72.1143, collision = h0047B0
x = -20.98276, y = 89.15064, z = 866.1195, angle = -74.64854, collision = h0047B0
x = -20.0499, y = 89.73156, z = 865.7635, angle = -58.17754, collision = h0047B0
x = -19.29583, y = 90.2401, z = 865.2979, angle = -59.10967, collision = h0047B0
x = -18.4551, y = 90.80504, z = 864.7731, angle = -42.84052, collision = h0047B0
x = -17.78781, y = 91.38239, z = 864.0768, angle = -48.36589, collision = h0047B0
x = -17.02703, y = 91.85227, z = 863.2567, angle = -32.19438, collision = h0047B0
x = -16.49016, y = 91.91088, z = 862.2702, angle = -39.83283, collision = h0047B0
x = -15.97313, y = 92.4767, z = 861.2657, angle = 5.659017, collision = h0047B0
x = -16.01975, y = 93.03782, z = 860.2783, angle = -8.634588, collision = h0047B0
x = -15.88972, y = 93.58701, z = 859.3802, angle = -3.22792, collision = h0047B0
x = -16.05966, y = 94.14426, z = 858.4427, angle = 25.38306, collision = h0047B0
x = -16.41666, y = 94.74986, z = 857.5304, angle = 13.61533, collision = h0047B0
x = -16.68761, y = 95.25266, z = 856.3978, angle = 19.72896, collision = h0047B0
x = -17.14428, y = 95.31234, z = 855.4232, angle = 33.07303, collision = h0047B0
x = -17.73741, y = 95.85168, z = 854.6176, angle = 46.60185, collision = h0047B0
x = -18.41914, y = 96.41488, z = 853.9578, angle = 45.51209, collision = h0047B0
x = -19.14389, y = 96.97918, z = 853.3854, angle = 67.70266, collision = h0047B0
x = -20.03833, y = 97.54903, z = 853.017, angle = 67.6391, collision = h0047B0
x = -20.96818, y = 98.14498, z = 852.7065, angle = 74.52183, collision = h0047B0
x = -22.00103, y = 98.63728, z = 852.3265, angle = 74.52183, collision = h0047B0
x = -23.04218, y = 98.63728, z = 852.3788, angle = 98.34941, collision = h0047B0
x = -23.98516, y = 99.15838, z = 852.6064, angle = 118.7917, collision = h0047B0
x = -24.74374, y = 99.69341, z = 853.11, angle = 119.8782, collision = h0047B0
x = -25.45408, y = 100.1968, z = 853.4856, angle = 114.9597, collision = h0047B0
x = -26.31831, y = 100.8203, z = 853.8966, angle = 116.0795, collision = h0047B0
x = -27.08493, y = 101.3704, z = 854.3965, angle = 146.1578, collision = h0047B0
x = -27.58769, y = 101.9496, z = 855.1714, angle = 109.9173, collision = h0047B0
x = -15.21858, y = 94.51337, z = 857.6218, angle = -144.6056, collision = h0047B0
x = -13.87472, y = 86.6599, z = 860.4331, angle = -144.5607, collision = h0047B0
x = -14.25346, y = 86.64176, z = 861.5068, angle = 162.1722, collision = h0047B0
x = -14.63282, y = 86.58939, z = 862.5675, angle = 141.381, collision = h0047B0
x = -15.50063, y = 86.36187, z = 863.1739, angle = 66.98917, collision = h0047B0
x = -15.38037, y = 86.50574, z = 861.3804, angle = 28.08127, collision = h0047B0
x = -15.06339, y = 86.53732, z = 860.4114, angle = -46.02408, collision = h0047B0
x = -14.23286, y = 86.53076, z = 859.4354, angle = 30.10455, collision = h0047B0
x = -15.05099, y = 86.36663, z = 858.6588, angle = 58.63007, collision = h0047B0
x = -15.98579, y = 86.28049, z = 857.9953, angle = -5.600332, collision = h0047B0
x = -15.64711, y = 86.31911, z = 857.0233, angle = -41.89779, collision = h0047B0
x = -14.92979, y = 86.43676, z = 856.0707, angle = -3.752656, collision = h0047B0
x = -15.23317, y = 86.56281, z = 855.0136, angle = 42.85981, collision = h0047B0
x = -16.18016, y = 86.69982, z = 854.3021, angle = 100.7087, collision = h0047B0
x = -17.42783, y = 86.50055, z = 854.3796, angle = 104.8543, collision = h0047B0
x = -18.6453, y = 86.28191, z = 854.3539, angle = 15.59023, collision = h0047B0
x = -18.51229, y = 86.28049, z = 852.9974, angle = -6.720169, collision = h0047B0
x = -18.27924, y = 86.46637, z = 851.5862, angle = 54.15184, collision = h0047B0
x = -19.21624, y = 86.36225, z = 851.1399, angle = 109.692, collision = h0047B0
x = -20.22865, y = 86.38065, z = 851.5475, angle = 101.6135, collision = h0047B0
x = -21.54075, y = 86.50172, z = 851.8477, angle = 36.59905, collision = h0047B0
x = -21.40728, y = 86.51802, z = 850.8454, angle = -80.77062, collision = h0047B0
x = -19.15581, y = 86.29116, z = 852.1946, angle = 93.71984, collision = h0047B0
x = -22.50323, y = 86.62392, z = 851.1121, angle = 116.7389, collision = h0047B0
x = -23.52114, y = 86.32109, z = 851.3321, angle = 103.6204, collision = h0047B0
x = -29.13608, y = 72.74702, z = 859.6105, angle = 172.8541, collision = h0049B0
x = -29.36534, y = 72.91096, z = 860.6614, angle = 174.669, collision = h0049B0
x = -29.76813, y = 73.02421, z = 861.9568, angle = 47.58049, collision = h0049B0
x = -30.53992, y = 72.99448, z = 861.1703, angle = -9.147781, collision = h0049B0
x = -30.2443, y = 72.74703, z = 859.7846, angle = 6.857428, collision = h0049B0
x = -30.10831, y = 73.01028, z = 858.3603, angle = -29.9091, collision = h0049B0
x = -29.89464, y = 73.02527, z = 857.2692, angle = -7.281269, collision = h0049B0
x = -28.88089, y = 72.87056, z = 857.2886, angle = -149.6212, collision = h0049B0
x = -26.0074, y = 57.96623, z = 858.8347, angle = -164.8511, collision = h0030B0
x = -25.58188, y = 57.92855, z = 861.2629, angle = -165.8276, collision = h0030B0
x = -24.93987, y = 57.86393, z = 863.9234, angle = -162.5934, collision = h0030B0
x = -24.24985, y = 57.82212, z = 866.1136, angle = -160.2838, collision = h0030B0
x = -23.19787, y = 57.90657, z = 868.8474, angle = -175.9796, collision = h0030B0
x = -23.20634, y = 58.34999, z = 875.691, angle = -175.4853, collision = h0026B0
x = -23.10217, y = 57.91229, z = 877.028, angle = -174.4652, collision = h0026B0
x = -22.99408, y = 57.74983, z = 878.1434, angle = -172.9709, collision = h0026B0
x = -22.82729, y = 56.97082, z = 883.3836, angle = 166.9538, collision = h0026B0
x = -23.10666, y = 56.36853, z = 884.6, angle = 164.9798, collision = h0026B0
x = -23.39571, y = 55.84016, z = 885.6448, angle = 163.0071, collision = h0026B0
x = -23.76508, y = 55.26363, z = 886.7978, angle = 160.0282, collision = h0025B0
x = -24.16567, y = 54.96655, z = 887.8551, angle = 158.4719, collision = h0025B0
x = -24.50723, y = 54.85734, z = 888.9864, angle = 173.4371, collision = h0025B0
x = -24.6359, y = 54.82825, z = 890.1278, angle = -165.6721, collision = h0025B0
x = -24.09832, y = 54.7282, z = 891.5519, angle = -174.9965, collision = h0025B0
x = -24.2043, y = 54.76243, z = 892.5903, angle = 169.9419, collision = h0025B0
x = -24.42105, y = 54.77045, z = 893.9236, angle = -179.3208, collision = h0025B0
x = -24.41629, y = 54.80014, z = 895.3578, angle = -116.8659, collision = h0025B0
x = -23.58131, y = 54.86455, z = 895.9928, angle = -99.23825, collision = h0025B0
x = -22.89343, y = 54.69378, z = 891.5383, angle = -99.40358, collision = h0025B0
x = -21.59598, y = 54.63329, z = 891.8051, angle = -129.7599, collision = h0025B0
x = -20.66685, y = 54.59757, z = 892.1966, angle = -151.1982, collision = h0025B0
x = -19.96667, y = 54.63976, z = 892.9899, angle = -178.5296, collision = h0025B0
x = -19.92639, y = 54.7004, z = 894.2451, angle = 154.118, collision = h0025B0
x = -20.26654, y = 54.77724, z = 895.2147, angle = 126.9865, collision = h0025B0
x = -21.21576, y = 54.88039, z = 896.0499, angle = 112.4574, collision = h0025B0
